"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.761519547429688 0.00941773952370112 80.8601199378272 0 0.743061117147454 0.779977977711921
"2" "FD" "=~" "FD5" 0.618770030251713 0.0120195698237989 51.4802142940709 0 0.595212106287403 0.642327954216023
"3" "FD" "=~" "FD9" 0.7934560823772 0.00888889990700655 89.2636986216674 0 0.776034158697286 0.810878006057115
"4" "FD" "=~" "FD13" 0.529109243488169 0.0135661127392553 39.0022738022161 0 0.502520151109018 0.555698335867319
"5" "FD" "=~" "FD17" 0.388540299477336 0.0155682790941144 24.9571771631602 0 0.358027033151604 0.419053565803069
"6" "SD" "=~" "SD2" 0.565648064856717 0.0140424357743384 40.2813353713464 0 0.538125396483797 0.593170733229638
"7" "SD" "=~" "SD6" 0.418983483492195 0.0160821715587423 26.0526684447931 0 0.387463006443865 0.450503960540524
"8" "SD" "=~" "SD10" 0.652010838636089 0.0127359993294532 51.1943210556124 0 0.627048738643235 0.676972938628944
"9" "SD" "=~" "SD14" 0.42198838673891 0.0160450159757635 26.3002783778051 0 0.390540733295044 0.453436040182776
"10" "SD" "=~" "SD18" 0.397219905685765 0.0163444168557493 24.3030943955665 0 0.365185437300187 0.429254374071343
"11" "SD" "=~" "SD22" 0.436220713844048 0.0158659916171339 27.4940718721272 0 0.405123941695451 0.467317485992645
"12" "SD" "=~" "SD24" 0.477998125025677 0.0153128427911555 31.2155052817341 0 0.447985504654089 0.508010745397266
"13" "UP" "=~" "UP3" 0.487568285207524 0.0144635808976182 33.7100672827027 0 0.45922018756071 0.515916382854337
"14" "UP" "=~" "UP7" 0.652964175037911 0.0116868326995373 55.8717825287053 0 0.630058403853473 0.675869946222349
"15" "UP" "=~" "UP11" 0.674414253539565 0.0112955984276646 59.7059339404118 0 0.652275287437515 0.696553219641614
"16" "UP" "=~" "UP15" 0.444567979924201 0.015078865195539 29.4828539256206 0 0.41501394721321 0.474122012635192
"17" "UP" "=~" "UP19" 0.621281086650317 0.0122577443045375 50.6847810832808 0 0.597256349281722 0.645305824018911
"18" "UP" "=~" "UP20" 0.430961469934479 0.0152627949593413 28.2360780631936 0 0.40104694151075 0.460875998358207
"19" "UP" "=~" "UP25" 0.514875736346187 0.014046996163806 36.6537963235752 0 0.487344129774155 0.542407342918219
"20" "UP" "=~" "UP27" 0.654424464645935 0.0116602818717373 56.1242405496355 0 0.631570732127745 0.677278197164126
"21" "FW" "=~" "FW4" 0.570304709558763 0.0152265985000073 37.4545049939084 0 0.540461124891697 0.600148294225829
"22" "FW" "=~" "FW8" 0.477989408923904 0.0163521825617052 29.23092419744 0 0.445939720034338 0.51003909781347
"23" "FW" "=~" "FW12" 0.299408664995053 0.0182203465206403 16.4326548156413 0 0.263697442028759 0.335119887961348
"24" "FW" "=~" "FW16" 0.52355883857358 0.0157970943646652 33.1427303330333 0 0.492597102558455 0.554520574588704
"25" "FW" "=~" "FW21" 0.544157069285331 0.0155444216067813 35.0065819784468 0 0.513690562775533 0.574623575795128
"26" "FW" "=~" "FW23" 0.478146987086362 0.0163502893571636 29.2439464918013 0 0.446101008809513 0.510192965363211
"27" "FW" "=~" "FW26" 0.405884517680579 0.0171826031036071 23.6218293138234 0 0.372207234436863 0.439561800924295
"28" "FD1" "~~" "FD1" 0.420087978882484 0.0143435855165793 29.2875152030095 0 0.391975067860818 0.44820088990415
"29" "FD5" "~~" "FD5" 0.617123649662294 0.0148746992212927 41.488143086544 0 0.587969774907694 0.646277524416894
"30" "FD9" "~~" "FD9" 0.370427445338626 0.0141059035507515 26.2604549936039 0 0.342780382409757 0.398074508267494
"31" "FD13" "~~" "FD13" 0.720043408455378 0.0143559114381549 50.1565791595552 0 0.691906339071348 0.748180477839408
"32" "FD17" "~~" "FD17" 0.849036435682062 0.0120978076879282 70.1810160637016 0 0.825325168321831 0.872747703042293
"33" "SD2" "~~" "SD2" 0.680042266723851 0.0158861533143111 42.8072330204211 0 0.648905978374919 0.711178555072782
"34" "SD6" "~~" "SD6" 0.824452840560746 0.013476328532776 61.1778525995102 0 0.798039721992675 0.850865959128817
"35" "SD10" "~~" "SD10" 0.574881866301063 0.0166080194191181 34.614715445196 0 0.54233074638505 0.607432986217077
"36" "SD14" "~~" "SD14" 0.821925801457492 0.0135416208021465 60.6962647578498 0 0.795384712392987 0.848466890521998
"37" "SD18" "~~" "SD18" 0.842216346526992 0.0129846553772848 64.8624335460111 0 0.81676688963585 0.867665803418135
"38" "SD22" "~~" "SD22" 0.809711488813389 0.0138421483932332 58.4960849870114 0 0.782581376493993 0.836841601132785
"39" "SD24" "~~" "SD24" 0.771517792471937 0.0146390204881024 52.7028289289558 0 0.742825839546313 0.800209745397562
"40" "UP3" "~~" "UP3" 0.762277167259795 0.0141039668496642 54.0470050295065 0 0.734633900195306 0.789920434324284
"41" "UP7" "~~" "UP7" 0.57363778611706 0.0152621660974934 37.5856076033187 0 0.543724490239905 0.603551081994215
"42" "UP11" "~~" "UP11" 0.545165414622672 0.0152358251206881 35.7818109819607 0 0.515303746111373 0.575027083133971
"43" "UP15" "~~" "UP15" 0.802359311226115 0.0134071611973583 59.8455780023151 0 0.77608175814437 0.82863686430786
"44" "UP19" "~~" "UP19" 0.614009811370602 0.0152310093792233 40.3131398637424 0 0.584157581539132 0.643862041202071
"45" "UP20" "~~" "UP20" 0.814272211431913 0.013155353155241 61.8966440370711 0 0.788488193043736 0.840056229820091
"46" "UP25" "~~" "UP25" 0.734902976121972 0.0144649153582172 50.8058953628436 0 0.706552262980446 0.763253689263498
"47" "UP27" "~~" "UP27" 0.571728620072881 0.0152615474296326 37.4620347450995 0 0.541816536762451 0.601640703383311
"48" "FW4" "~~" "FW4" 0.674752538255095 0.0173676018678398 38.8512209912272 0 0.640712664096298 0.708792412413891
"49" "FW8" "~~" "FW8" 0.771526124956576 0.0156323400607594 49.3544870414682 0 0.740887301443405 0.802164948469748
"50" "FW12" "~~" "FW12" 0.91035445132588 0.0109106592528073 83.437162707803 0 0.888969952142789 0.931738950508971
"51" "FW16" "~~" "FW16" 0.725886142551484 0.0165414171586658 43.8829476089481 0 0.693465560667246 0.758306724435722
"52" "FW21" "~~" "FW21" 0.7038930839468 0.0169172139135651 41.6080973819443 0 0.670735953957452 0.737050213936147
"53" "FW23" "~~" "FW23" 0.771375458740234 0.0156356831656282 49.3342983846041 0 0.740730082861924 0.802020834618545
"54" "FW26" "~~" "FW26" 0.835257758307204 0.0139483051032802 59.8823837106041 0 0.807919582659398 0.862595933955009
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.7227574602742 0.0139247008521099 51.904702869411 0 0.695465548108571 0.75004937243983
"60" "FD" "~~" "UP" 0.316875450824597 0.0187063346895563 16.9394729690958 0 0.280211708550314 0.353539193098879
"61" "FD" "~~" "FW" 0.0449454927445143 0.0219670034779978 2.04604568800346 0.0407518757911634 0.0018909570793726 0.0880000284096561
"62" "SD" "~~" "UP" 0.294031229214482 0.0204647326766695 14.3677043751316 0 0.25392109021497 0.334141368213994
"63" "SD" "~~" "FW" 0.282158896014343 0.0224393198727449 12.574306958254 0 0.238178637226189 0.326139154802497
"64" "UP" "~~" "FW" 0.39531047549163 0.0196875474894847 20.0792138128311 0 0.356723591468318 0.433897359514942
