"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.812385692644515 0.0194876684693377 41.687167139709 0 0.774190564301957 0.850580820987074
"2" "FD" "=~" "FD5" 0.52890664995309 0.0289733955947186 18.2549072725705 0 0.47211983807761 0.58569346182857
"3" "FD" "=~" "FD9" 0.847060759711073 0.0187100103365433 45.2731315736712 0 0.810389813301076 0.88373170612107
"4" "FD" "=~" "FD13" 0.357039502071563 0.0340953077161927 10.4718075884089 0 0.290213926906014 0.423865077237111
"5" "FD" "=~" "FD17" 0.348257703246288 0.0343062620554828 10.1514324901692 0 0.281018665173348 0.415496741319227
"6" "SD" "=~" "SD2" 0.546800146441565 0.0323278308012741 16.9142232215597 0 0.483438762372763 0.610161530510367
"7" "SD" "=~" "SD6" 0.211886351652407 0.039927582864024 5.30676631174994 1.11587086237819e-07 0.133629727249181 0.290142976055632
"8" "SD" "=~" "SD10" 0.641683278959564 0.0296450812374496 21.6455227030698 0 0.583579987415399 0.699786570503729
"9" "SD" "=~" "SD14" 0.368831917017235 0.0370570956665271 9.95307134526445 0 0.296201344139186 0.441462489895283
"10" "SD" "=~" "SD18" 0.29178743531875 0.0386469429313415 7.55007804464964 4.35207425653061e-14 0.216040819060745 0.367534051576754
"11" "SD" "=~" "SD22" 0.566605386179126 0.0317536382856888 17.8437941845074 0 0.504369398761063 0.628841373597188
"12" "SD" "=~" "SD24" 0.553203095018301 0.0321421252446868 17.211154856966 0 0.490205687152139 0.616200502884462
"13" "UP" "=~" "UP3" 0.36573943656565 0.0341515011931232 10.709322395447 0 0.298803724209152 0.432675148922148
"14" "UP" "=~" "UP7" 0.70672009717574 0.0222411721620677 31.7753080649701 0 0.663128200764132 0.750311993587348
"15" "UP" "=~" "UP11" 0.707103469696011 0.022225168121982 31.815438507151 0 0.663542940626578 0.750663998765443
"16" "UP" "=~" "UP15" 0.65720110349287 0.024298423469132 27.0470676555522 0 0.609577068612269 0.704825138373472
"17" "UP" "=~" "UP19" 0.648946681076372 0.0246366654302987 26.3406865231966 0 0.600659704133824 0.697233658018921
"18" "UP" "=~" "UP20" 0.318527766523166 0.0352540042736309 9.03522232682702 0 0.249431187836028 0.387624345210303
"19" "UP" "=~" "UP25" 0.403372359416136 0.0331671305261719 12.1618105943123 0 0.3383659781143 0.468378740717972
"20" "UP" "=~" "UP27" 0.702727725639926 0.0224078519280613 31.3607804931941 0 0.65880914289002 0.746646308389833
"21" "FW" "=~" "FW4" 0.334083791441836 0.0390728919462913 8.55027039977128 0 0.25750233045528 0.410665252428392
"22" "FW" "=~" "FW8" 0.618162929400376 0.032599677059398 18.962240891959 0 0.554268736456319 0.682057122344432
"23" "FW" "=~" "FW12" 0.313783932044755 0.0394607488734936 7.95179871144129 1.77635683940025e-15 0.236442285449728 0.391125578639782
"24" "FW" "=~" "FW16" 0.580939033203573 0.0333812952257727 17.4031303840795 0 0.51551289680376 0.646365169603387
"25" "FW" "=~" "FW21" 0.440233282358768 0.0367501932795293 11.979073933306 0 0.368204227106005 0.512262337611532
"26" "FW" "=~" "FW23" 0.548652423287304 0.0341191494392012 16.080483608332 0 0.481780119203329 0.615524727371278
"27" "FW" "=~" "FW26" 0.385574484905388 0.0380020349024079 10.1461536440239 0 0.311091865157434 0.460057104653342
"28" "FD1" "~~" "FD1" 0.340029486386491 0.0316630059942318 10.7390146863641 0 0.277971134995521 0.402087837777462
"29" "FD5" "~~" "FD5" 0.7202577556354 0.0306484434933986 23.5006308163916 0 0.660187910206127 0.780327601064672
"30" "FD9" "~~" "FD9" 0.282488069357699 0.0316970313181813 8.91213017780832 0 0.220363029557226 0.344613109158173
"31" "FD13" "~~" "FD13" 0.872522793960491 0.0243467439559479 35.8373503881751 0 0.824804052666015 0.920241535254967
"32" "FD17" "~~" "FD17" 0.878716572129621 0.0238948408027501 36.7743220966966 0 0.831883544739912 0.925549599519329
"33" "SD2" "~~" "SD2" 0.701009599851483 0.0353537253882157 19.8284506697319 0 0.631717571371261 0.770301628331705
"34" "SD6" "~~" "SD6" 0.955104173983433 0.0169202202641491 56.4475024008481 0 0.921941151655216 0.98826719631165
"35" "SD10" "~~" "SD10" 0.588242569503702 0.038045505172929 15.4615523392304 0 0.513674749591129 0.662810389416276
"36" "SD14" "~~" "SD14" 0.863963016989392 0.0273356792043873 31.6056905163976 0 0.810386070255852 0.917539963722931
"37" "SD18" "~~" "SD18" 0.914860092590107 0.0225533853718342 40.5642025579287 0 0.870656269531859 0.959063915648354
"38" "SD22" "~~" "SD22" 0.678958336352804 0.0359835654147579 18.8685675954263 0 0.608431844104537 0.74948482860107
"39" "SD24" "~~" "SD24" 0.693966335662173 0.0355622458944265 19.5141312987472 0 0.62426561449974 0.763667056824606
"40" "UP3" "~~" "UP3" 0.866234664540641 0.0249811024154932 34.6755979833542 0 0.817272603512168 0.915196725569114
"41" "UP7" "~~" "UP7" 0.500546704247912 0.0314365666867326 15.9224354630037 0 0.438932165744325 0.5621612427515
"42" "UP11" "~~" "UP11" 0.500004683143862 0.0314309871495712 15.9080171667686 0 0.438401080332162 0.561608285955563
"43" "UP15" "~~" "UP15" 0.568086709567753 0.0319379011984783 17.7872273458852 0 0.505489573476937 0.630683845658569
"44" "UP19" "~~" "UP19" 0.578868205119961 0.0319757645078917 18.1033421414239 0 0.51619685830636 0.641539551933563
"45" "UP20" "~~" "UP20" 0.898540061953764 0.022458757917882 40.0084486078517 0 0.854521705297211 0.942558418610316
"46" "UP25" "~~" "UP25" 0.83729073965906 0.0267574069613411 31.2919237977271 0 0.78484718569515 0.889734293622969
"47" "UP27" "~~" "UP27" 0.506173743616936 0.0314932378322287 16.0724580404668 0 0.444448131709214 0.567899355524659
"48" "FW4" "~~" "FW4" 0.888388020295848 0.0261072406355968 34.028415055268 0 0.837218768914358 0.939557271677339
"49" "FW8" "~~" "FW8" 0.617874592715146 0.0403038239488164 15.3304210910561 0 0.538880549336223 0.696868636094069
"50" "FW12" "~~" "FW12" 0.901539643990533 0.0247642981021455 36.4048131011808 0 0.853002511607914 0.950076776373151
"51" "FW16" "~~" "FW16" 0.662509839700497 0.0387849941189961 17.0816021698457 0 0.586492648086667 0.738527031314328
"52" "FW21" "~~" "FW21" 0.806194657103625 0.0323573160768447 24.9153747853811 0 0.74277548295663 0.869613831250619
"53" "FW23" "~~" "FW23" 0.698980518420969 0.0374391086307058 18.6697959429434 0 0.625601213891503 0.772359822950435
"54" "FW26" "~~" "FW26" 0.851332316589945 0.0293052296053515 29.0505253859018 0 0.793895122004779 0.908769511175111
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.548225799483406 0.0362813522943021 15.1104014821824 0 0.477115655676165 0.619335943290648
"60" "FD" "~~" "UP" 0.179116930959307 0.0412713141050145 4.3399861342807 1.42491706800474e-05 0.0982266417188381 0.260007220199775
"61" "FD" "~~" "FW" 0.176683254870899 0.0455280621861132 3.88075499784373 0.000104132700955439 0.0874498927002173 0.265916617041581
"62" "SD" "~~" "UP" 0.224164314871297 0.0446548975523207 5.01992675290881 5.16911861758729e-07 0.136642323935422 0.311686305807171
"63" "SD" "~~" "FW" 0.114292372205971 0.0504978371669448 2.26331222519734 0.0236164492074935 0.0153184300615909 0.213266314350351
"64" "UP" "~~" "FW" 0.187986145402198 0.0455632093170043 4.12583196443191 3.69396918253884e-05 0.0986838961208098 0.277288394683586
