id,gender,age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,FW,SD,FD,UN,FAC1_1,FAC2_1,FAC3_1,FAC4_1
450,1,20,2,3,4,3,4,3,5,5,3,3,3,4,2,5,4,4,3,4,5,4,3,4,3,2,3,4,3,3.714285714,3.428571429,2.8,3.875,1.27129084,1.104641518,-1.024414995,0.88694787
453,1,23,3,3,3,3,3,1,2,2,1,1,4,3,2,3,3,3,3,3,3,4,2,2,2,2,2,2,4,2.428571429,2.142857143,2.4,3.125,0.552093118,-1.372924491,-0.087790881,-1.066620044
454,1,21,1,2,2,2,1,1,4,3,1,2,2,3,2,2,3,3,3,3,3,4,4,2,2,3,2,2,4,2.714285714,2.142857143,1.6,3,-0.52522592,-0.711718982,0.278548935,-1.225582429
456,1,20,3,4,2,3,3,4,3,4,3,2,3,4,3,3,3,4,3,2,3,3,2,4,3,4,3,3,3,3.285714286,3.285714286,3,2.875,1.449553269,0.155366906,0.449546539,0.801579203
457,1,23,2,2,3,3,2,2,4,3,2,2,4,3,3,4,3,4,3,3,4,4,4,2,3,4,3,2,4,3.142857143,2.714285714,2.4,3.625,0.470047495,0.034379156,-0.894842168,-0.297167025
458,1,24,1,2,4,3,2,2,4,4,1,3,4,4,3,4,2,1,2,4,4,5,2,4,3,4,3,4,4,3,3.285714286,1.8,3.75,-0.244607549,-0.432716167,-1.122110411,1.009175879
459,1,19,4,5,5,2,1,2,5,2,1,2,5,5,3,5,3,4,2,5,3,5,3,4,3,4,2,5,3,3.428571429,3.857142857,2.2,3.875,0.348763596,0.243822339,-1.420883042,1.873658452
460,1,24,1,4,1,3,1,5,2,3,1,3,1,2,5,2,3,3,1,1,4,1,3,4,1,4,1,1,4,2.285714286,3.285714286,1.8,2.125,-0.469693548,-1.170267927,1.725208016,0.601501039
464,1,21,3,2,1,2,5,1,5,3,5,5,3,4,3,1,3,3,4,3,3,4,2,4,2,4,3,4,4,2.857142857,2.857142857,4,3.25,3.045384583,-0.608346644,0.194693353,0.049224783
465,1,21,1,2,1,3,1,3,2,3,1,2,2,2,1,3,4,2,1,1,1,2,1,3,2,2,1,2,4,2.142857143,2.285714286,1,2.125,-1.302751441,-1.497891484,1.834604059,-0.965207585
466,1,22,1,3,1,2,2,3,4,4,1,2,2,4,2,4,2,2,1,4,3,2,4,4,2,4,1,3,4,3,3.428571429,1.4,2.375,-1.035051899,0.008103399,1.09932105,0.661826666
467,1,23,1,2,3,2,1,1,5,4,1,1,1,5,1,2,2,2,1,3,2,2,3,4,3,4,1,2,5,3,2.428571429,1,2.625,-1.73355738,-0.277475172,0.856942571,-0.577082568
