"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.838855294834992 0.00502878325742813 166.810787399894 0 0.828999060764375 0.848711528905609
"2" "FD" "=~" "FD5" 0.574765696967865 0.00825428989493697 69.6323613882783 0 0.558587586055835 0.590943807879894
"3" "FD" "=~" "FD9" 0.875623794231748 0.00469735458353862 186.407855455553 0 0.866417148425398 0.884830440038098
"4" "FD" "=~" "FD13" 0.420411761646581 0.00989039027770398 42.5070952553127 0 0.401026952909236 0.439796570383926
"5" "FD" "=~" "FD17" 0.488692820667647 0.00922538258270585 52.972634607454 0 0.470611403061941 0.506774238273354
"6" "SD" "=~" "SD2" 0.529064120562897 0.0105231303583584 50.2763058658367 0 0.508439164055894 0.549689077069899
"7" "SD" "=~" "SD6" 0.176314246053459 0.0127880622083381 13.787409161843 0 0.151250104693059 0.201378387413859
"8" "SD" "=~" "SD10" 0.575814871482559 0.0101336924420613 56.8218223292981 0 0.555953199265713 0.595676543699404
"9" "SD" "=~" "SD14" 0.374950849118464 0.011736653544974 31.946998152555 0 0.351947430871291 0.397954267365638
"10" "SD" "=~" "SD18" 0.311165033916946 0.0121496668108643 25.6109931869654 0 0.28735212454349 0.334977943290401
"11" "SD" "=~" "SD22" 0.498741790052646 0.0107769805192944 46.2784347767662 0 0.477619296372739 0.519864283732553
"12" "SD" "=~" "SD24" 0.563168176015671 0.0102379556593181 55.0078741064971 0 0.543102151648089 0.583234200383252
"13" "UP" "=~" "UP3" 0.336139241501435 0.0113629649451474 29.5820010995443 0 0.313868239451355 0.358410243551515
"14" "UP" "=~" "UP7" 0.510579164259676 0.00988933006502646 51.6292975259604 0 0.491196433500995 0.529961895018357
"15" "UP" "=~" "UP11" 0.689082036155575 0.00803802329328725 85.7277978692901 0 0.673327799993838 0.704836272317312
"16" "UP" "=~" "UP15" 0.523007905377248 0.00976587062114762 53.5546625248848 0 0.503867150682121 0.542148660072375
"17" "UP" "=~" "UP19" 0.694161432379927 0.00798727710670198 86.9083948267513 0 0.67850665691625 0.709816207843604
"18" "UP" "=~" "UP20" 0.294465460909474 0.0116326508877774 25.3137022463961 0 0.271665884124702 0.317265037694245
"19" "UP" "=~" "UP25" 0.325202913263846 0.0114370169201727 28.4342425593731 0 0.302786772009732 0.347619054517959
"20" "UP" "=~" "UP27" 0.547048295522222 0.00952182818098817 57.4520234060188 0 0.528385855220507 0.565710735823937
"21" "FW" "=~" "FW4" 0.378758523333467 0.0119464514106426 31.7046887242222 0 0.35534390882555 0.402173137841384
"22" "FW" "=~" "FW8" 0.612630769022668 0.0102475833298434 59.7829507020001 0 0.592545874767602 0.632715663277734
"23" "FW" "=~" "FW12" 0.429906778056576 0.0115871194705285 37.1021269910983 0 0.407196441209778 0.452617114903375
"24" "FW" "=~" "FW16" 0.532300441418786 0.0108155100901719 49.2163972832397 0 0.51110243116762 0.553498451669953
"25" "FW" "=~" "FW21" 0.48969207609398 0.0111390274299031 43.9618341166288 0 0.467859983508566 0.511524168679394
"26" "FW" "=~" "FW23" 0.480855511903917 0.0112063029129359 42.9093801621984 0 0.458891561794716 0.502819462013117
"27" "FW" "=~" "FW26" 0.291239957331503 0.0124801861081142 23.3361870414856 0 0.266779242039242 0.315700672623764
"28" "FD1" "~~" "FD1" 0.296321794327299 0.00843684290823735 35.1223553111299 0 0.279785886083932 0.312857702570666
"29" "FD5" "~~" "FD5" 0.669644393589044 0.00948856531663309 70.5738297880696 0 0.651047147303488 0.688241639874601
"30" "FD9" "~~" "FD9" 0.233282970975198 0.00822623085159158 28.3584274722928 0 0.217159854777566 0.249406087172829
"31" "FD13" "~~" "FD13" 0.823253950669218 0.00831607294460033 98.9955182155733 0 0.806954747204994 0.839553154133443
"32" "FD17" "~~" "FD17" 0.761179327027899 0.00901675656062815 84.4183073935482 0 0.743506808911702 0.778851845144095
"33" "SD2" "~~" "SD2" 0.720091156333009 0.0111348215396316 64.6702018321557 0 0.69826730714105 0.741915005524968
"34" "SD6" "~~" "SD6" 0.9689132866386 0.00450943496825007 214.86356793268 0 0.960074956510205 0.977751616766996
"35" "SD10" "~~" "SD10" 0.668437233779525 0.011670261697861 57.2769703957917 0 0.64556394116156 0.691310526397489
"36" "SD14" "~~" "SD14" 0.859411860745343 0.00880133660247004 97.6456076573818 0 0.842161557988687 0.876662163501998
"37" "SD18" "~~" "SD18" 0.903176321667466 0.00756110307799456 119.450338442816 0 0.888356831951202 0.91799581138373
"38" "SD22" "~~" "SD22" 0.751256626855082 0.0107498611903411 69.8852397768722 0 0.730187286083209 0.772325967626956
"39" "SD24" "~~" "SD24" 0.682841605523182 0.0115313814595994 59.2159411182034 0 0.660240513170375 0.70544269787599
"40" "UP3" "~~" "UP3" 0.88701041032284 0.00763907702276672 116.114866714825 0 0.87203809448309 0.90198272616259
"41" "UP7" "~~" "UP7" 0.739308917023891 0.0100985718647637 73.20925442968 0 0.719516079873665 0.759101754174117
"42" "UP11" "~~" "UP11" 0.525165947447687 0.0110777149325645 47.4074256870329 0 0.503454025148859 0.546877869746515
"43" "UP15" "~~" "UP15" 0.726462730912904 0.0102152553340972 71.1154745675385 0 0.706441198365192 0.746484263460615
"44" "UP19" "~~" "UP19" 0.518139905796248 0.0110889194974772 46.72591463164 0 0.496406022953729 0.539873788638767
"45" "UP20" "~~" "UP20" 0.913290092331371 0.00685082784173589 133.310909780497 0 0.899862716497285 0.926717468165458
"46" "UP25" "~~" "UP25" 0.894243065204708 0.00743870262419281 120.214923271213 0 0.879663475969586 0.908822654439829
"47" "UP27" "~~" "UP27" 0.700738162366232 0.0104177998250459 67.2635464430365 0 0.680319649910994 0.721156674821469
"48" "FW4" "~~" "FW4" 0.856541981002251 0.00904964082294741 94.6492792100981 0 0.838805010916251 0.874278951088252
"49" "FW8" "~~" "FW8" 0.624683540846695 0.0125559696890035 49.7519153294699 0 0.600074292465271 0.649292789228118
"50" "FW12" "~~" "FW12" 0.815180162181014 0.00996276236721997 81.8227046008007 0 0.795653506754731 0.834706817607296
"51" "FW16" "~~" "FW16" 0.716656240065365 0.0115142014059426 62.2410721159951 0 0.694088819998977 0.739223660131753
"52" "FW21" "~~" "FW21" 0.760201670610768 0.0109093868719806 69.6832626371745 0 0.738819665248272 0.781583675973264
"53" "FW23" "~~" "FW23" 0.768777976671622 0.0107772251184334 71.3335731807903 0 0.747655003586213 0.789900949757032
"54" "FW26" "~~" "FW26" 0.915179287253544 0.00726945769872749 125.893749600296 0 0.900931411976901 0.929427162530187
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.545564001675888 0.0114775950477746 47.5329543693621 0 0.523068328753114 0.568059674598661
"60" "FD" "~~" "UP" 0.210694050504644 0.0130178957321299 16.184954530295 0 0.185179443715172 0.236208657294116
"61" "FD" "~~" "FW" -0.0367610472483562 0.0143631741471426 -2.55939577643215 0.0104854291585041 -0.0649123512804325 -0.00860974321627988
"62" "SD" "~~" "UP" 0.271027358533472 0.0146869362070547 18.4536348978821 0 0.242241492524407 0.299813224542536
"63" "SD" "~~" "FW" 0.247132535634387 0.015842560162044 15.5992802366926 0 0.216081688293872 0.278183382974902
"64" "UP" "~~" "FW" 0.283695442073764 0.0144674721101408 19.6091922565319 0 0.25533971779055 0.312051166356978
