"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD" NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"UP" NA NA "1" NA "0.161553174923305" "0.0741023424926281" "0.081656640393535" "0.196821925932195" "0.112650845587785" "0.0733875210176033" "-0.0386663296604145" "-0.0328211942986869" "0.135944207479295" "0.0917717251951809" "0.0898473998473564" "0.115304752070379" "0.559583890957613" "0.554201175226088" "0.672043401268128" "0.497834788307567" "0.71585678423223" "0.523256880769821" "0.601796843340855" "0.477867287088871" "-0.0284201096201573" "0.0507923391586775" "0.064257867467183" "0.103692102964039" "0.0511386219962398" "0.0738103284485382" "0.0672848506549654" NA NA "1" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "0" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0"
"FW" NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"FD1" NA NA "0.161553174923305" NA "1" "0.387959487303335" "0.381373772105521" "0.338963350116645" "0.310508382602434" "0.209174251096175" "0.00316872675674141" "0.137243168123435" "-0.00218781773194758" "0.078049496461707" "0.10038973524916" "0.110052922516552" "0.142246643391172" "0.0109744065486572" "0.15777310149213" "0.0946502924523102" "0.0890237210160903" "0.208513224710029" "0.191639725212397" "-0.123550260989302" "-0.144977118916098" "-0.09484774037118" "-0.0210395969233805" "-0.0201238540069236" "-0.139584351331029" "-0.0319309238899249" "0.0424500798332079" NA NA "0" NA "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" NA NA "0.0741023424926281" NA "0.387959487303335" "1" "0.534006987973223" "0.391768210294547" "0.254091195688732" "0.134356011710797" "0.0234547967394036" "0.19849128619069" "-0.0186552771759897" "0.072714973787666" "0.0435846398472969" "0.105369528621676" "0.0459641903119375" "0.0169559380003996" "0.0532609015592736" "0.0838106575840021" "0.0810316073051546" "0.0944015460377909" "0.120676059396016" "-0.133582477244857" "-0.0998155949709409" "-0.0930589164863304" "-0.116795708857892" "-0.00713551840190181" "-0.0844367460597241" "-0.028273127714266" "-0.0488034278103088" NA NA "0" NA "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" NA NA "0.081656640393535" NA "0.381373772105521" "0.534006987973223" "1" "0.432210193760011" "0.368758011615299" "0.101632521676784" "0.0230475766025356" "0.204423555366805" "-0.0218833353848004" "0.0928728256949553" "0.0536583172133425" "0.085295425669369" "0.0312263586788068" "0.0171477142197107" "0.0920565603744407" "0.136267572358517" "0.0777799122478077" "0.114959976302572" "0.08313040697085" "-0.157406407650483" "-0.0339959474268454" "-0.00147474628325261" "0.0608982238557765" "0.0597271647665578" "-0.0416042020796987" "0.00457852391384559" "0.0252102010895211" NA NA "0" NA "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" NA NA "0.196821925932195" NA "0.338963350116645" "0.391768210294547" "0.432210193760011" "1" "0.254841979935024" "0.118030377602162" "0.00539652119863399" "0.147114607927796" "0.0575074178898233" "0.0697138271491803" "0.0674142232352208" "0.0673683628118101" "0.11917448482684" "0.0793379405485327" "0.201914995664976" "0.158325971713608" "0.137588533754799" "0.0966305169939043" "0.15926345123482" "-0.0360449360949813" "-0.0417399858067462" "0.0314325752405018" "0.0316698544980555" "-0.0182873071636353" "-0.0625464022773828" "0.0302676203148723" "0.0472801238114794" NA NA "0" NA "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" NA NA "0.112650845587785" NA "0.310508382602434" "0.254091195688732" "0.368758011615299" "0.254841979935024" "1" "0.0568211435142708" "-0.0711159689762337" "0.0788629809632319" "-0.0679428800786749" "0.116068953155851" "0.0313930272010157" "0.049786754165643" "0.0514890993870086" "0.0404209583272589" "0.108236252493782" "0.132680536054189" "0.0871931526956274" "0.140612421695216" "0.0850867398945618" "-0.111777522858661" "-0.0834680761794116" "-0.0205182901202058" "0.00540750361217311" "0.0416846250053608" "-0.0817795275451684" "0.0169647935222864" "0.0836377013905814" NA NA "0" NA "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" NA NA "0.0733875210176033" NA "0.209174251096175" "0.134356011710797" "0.101632521676784" "0.118030377602162" "0.0568211435142708" "1" "0.10766550508689" "0.484204694845039" "0.189612450613348" "0.109451431465112" "0.2029096356865" "0.237953743643247" "0.141923581771327" "0.0318941472248443" "0.0199727930704932" "-0.0408972839092069" "-0.0019463525786793" "0.144776056702431" "0.0929353369990745" "-0.0451837161263849" "-0.0496101627625271" "0.0210135425557549" "-0.0747526948621599" "0.0125749485573457" "-0.0777421833519297" "0.0384397367301885" "-0.0279975417580435" NA NA "0" NA "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD6" NA NA "-0.0386663296604145" NA "0.00316872675674141" "0.0234547967394036" "0.0230475766025356" "0.00539652119863399" "-0.0711159689762337" "0.10766550508689" "1" "0.101024460388579" "0.138108126907283" "0.134538250226952" "0.0850209765499799" "0.0402227233764788" "0.0140623911124053" "-0.0763332064310536" "0.0327775483978176" "-0.0443894076450545" "-0.0154923785230844" "-0.0507017711212932" "0.0704028638202925" "-0.0952866887005619" "0.102405381145288" "0.0684013130182852" "0.103614777792683" "0.0627947550039566" "0.0942780134599325" "0.0164344124246615" "0.0274549795041169" NA NA "0" NA "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" NA NA "-0.0328211942986869" NA "0.137243168123435" "0.19849128619069" "0.204423555366805" "0.147114607927796" "0.0788629809632319" "0.484204694845039" "0.101024460388579" "1" "0.125048157955709" "0.12316851701285" "0.173944522964783" "0.244496471834864" "0.04940073506821" "-0.097793297726503" "-0.0271978644772753" "-0.0557525888820613" "-0.0174722042821285" "0.0932356573180266" "0.0515173875464016" "-0.127232478111552" "-0.00226702582633768" "0.0487983827469625" "-0.0783793581161699" "0.00353708604301407" "-0.0612890490944411" "0.0405309414883372" "-0.0618582234873145" NA NA "0" NA "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" NA NA "0.135944207479295" NA "-0.00218781773194758" "-0.0186552771759897" "-0.0218833353848004" "0.0575074178898233" "-0.0679428800786749" "0.189612450613348" "0.138108126907283" "0.125048157955709" "1" "0.121187093005051" "0.269673041103704" "0.187868043617379" "0.147366152268861" "0.0250746320451674" "0.100611783458165" "0.0457974495840357" "0.107771948539471" "0.059625875463023" "0.0896139779987139" "0.0477310046969266" "0.0771418173901972" "0.170790860179283" "0.102235232971209" "0.0655492530685254" "0.0298974569830581" "0.126944296158915" "0.129831847938701" NA NA "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" NA NA "0.0917717251951809" NA "0.078049496461707" "0.072714973787666" "0.0928728256949553" "0.0697138271491803" "0.116068953155851" "0.109451431465112" "0.134538250226952" "0.12316851701285" "0.121187093005051" "1" "0.167347388791657" "0.108666078232173" "0.0586705534607091" "0.0184561860752333" "0.114763014136155" "0.00351512009596407" "0.140124420770041" "0.114797611963497" "0.0479771503995164" "-0.0730809471583238" "0.0763950182327264" "0.0988488197906968" "0.13637297337616" "0.0891480143556844" "0.0666285559192122" "0.103633428210235" "0.0756055786821612" NA NA "0" NA "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
