"NO","age","gender","edu","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26","FD","SD","UP","FW"
"CHN1.2",NA,0,0,5,3,5,4,3,4,1,3,4,4,4,3,3,5,5,5,4,4,3,3,2,5,2,5,3,4,2,4,3.28571428571429,4,3.28571428571429
"CHN1.2",NA,0,0,3,2,3,4,2,2,4,3,4,4,3,2,2,2,2,2,4,4,2,2,2,2,2,2,3,4,2,2.8,3.14285714285714,2.5,2.42857142857143
"CHN1.2",NA,0,0,2,3,2,2,3,4,2,3,4,3,4,3,3,4,4,4,2,4,2,4,2,4,3,4,3,4,3,2.4,3.28571428571429,3.375,3.28571428571429
"CHN1.2",NA,0,0,1,2,1,2,2,2,5,2,3,5,2,2,2,3,3,3,4,4,2,4,4,4,3,4,4,4,4,1.6,3,3.125,3.85714285714286
"CHN1.2",NA,0,0,3,3,3,2,4,2,2,2,4,2,3,2,2,4,4,4,2,4,2,4,2,2,2,4,3,4,4,3,2.42857142857143,3.25,3
"CHN1.2",NA,0,0,4,3,2,2,4,3,2,3,4,2,3,2,3,2,3,3,2,4,2,2,2,3,2,2,2,4,4,3,2.71428571428571,2.625,2.71428571428571
"CHN1.2",NA,0,0,4,2,5,3,4,5,3,5,5,4,5,3,3,2,4,5,4,5,3,3,2,5,1,3,2,5,3,3.6,4.28571428571429,3.625,3
"CHN1.2",NA,0,0,3,2,3,2,2,4,3,2,4,3,3,4,2,2,4,4,3,4,2,4,4,4,4,5,3,4,4,2.4,3.28571428571429,3.125,4
"CHN1.2",NA,0,0,3,2,2,5,2,4,4,3,5,4,5,5,2,3,4,3,4,4,3,2,2,4,4,4,4,4,4,2.8,4.28571428571429,3.125,3.71428571428571
"CHN1.2",NA,0,0,3,2,3,1,3,5,4,3,4,5,2,1,1,2,4,5,2,2,1,5,4,4,2,4,5,4,3,2.4,3.42857142857143,2.75,3.71428571428571
"CHN1.2",NA,0,0,2,2,2,2,3,3,3,3,4,4,4,2,2,2,3,4,2,4,2,3,2,3,2,3,2,4,3,2.2,3.28571428571429,2.75,2.71428571428571
"CHN1.2",NA,0,0,3,3,3,3,2,3,3,3,4,3,4,2,5,2,5,3,2,5,5,2,1,4,3,2,2,3,4,2.8,3.14285714285714,3.625,2.71428571428571
"CHN1.2",NA,0,0,3,3,3,4,3,4,2,2,5,5,4,3,3,5,5,5,4,5,2,3,1,3,2,3,2,5,3,3.2,3.57142857142857,4,2.71428571428571
"CHN1.2",NA,0,0,3,3,3,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,3,5,3,4,4,4,4,4,4,3,3.57142857142857,3.75,3.85714285714286
"CHN1.2",NA,0,0,2,2,3,2,2,3,1,3,3,2,4,4,1,4,4,5,4,5,4,4,2,2,1,4,4,4,4,2.2,2.85714285714286,3.875,3
"CHN1.2",NA,0,0,2,2,2,3,3,3,3,3,4,4,4,3,3,2,3,3,2,3,2,2,2,4,3,4,3,4,4,2.4,3.42857142857143,2.5,3.42857142857143
"CHN1.2",NA,0,0,3,4,3,2,2,4,4,3,4,4,4,4,2,2,2,2,2,4,2,2,3,3,4,3,4,4,4,2.8,3.85714285714286,2.25,3.57142857142857
"CHN1.2",NA,0,0,3,2,2,2,2,3,3,2,2,4,2,2,2,2,2,2,3,4,3,2,2,3,2,3,2,4,3,2.2,2.57142857142857,2.5,2.71428571428571
"CHN1.2",NA,0,0,2,2,2,2,2,3,2,2,2,2,3,2,3,4,2,3,2,4,2,4,2,2,2,3,2,3,2,2,2.28571428571429,3,2.28571428571429
"CHN1.2",NA,0,0,4,1,2,2,4,2,2,2,3,2,2,2,1,5,3,4,4,3,2,2,2,4,3,4,5,4,4,2.6,2.14285714285714,3,3.71428571428571
"CHN1.2",NA,0,0,2,2,2,3,2,3,2,3,4,4,4,3,2,2,2,3,2,2,2,2,3,5,3,4,5,5,4,2.2,3.28571428571429,2.125,4.14285714285714
"CHN1.2",NA,0,0,4,1,4,2,3,3,4,3,3,4,3,3,2,3,4,3,3,4,3,3,4,4,4,3,4,4,4,2.8,3.28571428571429,3.125,3.85714285714286
"CHN1.2",NA,0,0,2,1,2,2,2,2,3,2,2,2,3,2,2,3,4,4,4,4,2,4,3,2,2,3,2,4,4,1.8,2.28571428571429,3.375,2.85714285714286
"CHN1.2",NA,0,0,3,2,2,5,5,4,5,2,5,5,4,3,4,5,5,5,5,5,2,4,5,5,4,5,5,5,5,3.4,4,4.375,4.85714285714286
"CHN1.2",NA,0,0,3,2,3,2,3,5,1,4,5,4,4,4,2,2,4,4,4,4,2,5,2,3,2,2,3,4,5,2.6,3.85714285714286,3.375,3
"CHN1.2",NA,0,0,2,2,2,2,3,3,2,3,2,2,2,2,4,5,4,4,4,4,4,3,2,4,2,4,4,4,4,2.2,2.28571428571429,4,3.42857142857143
"CHN1.2",NA,0,0,3,2,3,3,3,4,3,4,5,4,3,4,4,4,5,4,5,5,3,3,5,4,4,4,4,4,4,2.8,3.85714285714286,4.125,4.14285714285714
"CHN1.2",NA,0,0,2,1,2,2,3,2,4,4,4,2,4,2,1,3,2,1,2,4,2,4,3,4,3,2,4,4,5,2,3.14285714285714,2.375,3.57142857142857
"CHN1.2",NA,0,0,2,1,2,2,2,3,4,4,4,4,4,1,4,3,4,4,3,2,3,3,4,3,4,2,4,4,4,1.8,3.42857142857143,3.25,3.57142857142857
"CHN1.2",NA,0,0,4,2,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3.2,3.57142857142857,3.75,4
"CHN1.2",NA,0,0,3,2,4,3,2,3,3,3,2,4,2,2,2,4,4,4,2,4,2,4,3,3,3,4,2,4,3,2.8,2.71428571428571,3.25,3.14285714285714
"CHN1.2",NA,0,0,2,2,3,3,4,3,4,3,4,2,4,4,2,2,4,2,4,5,3,5,1,4,1,3,3,4,4,2.8,3.42857142857143,3.375,2.85714285714286
"CHN1.2",NA,0,0,2,2,2,2,3,4,4,3,2,2,2,2,3,5,4,4,3,4,2,3,2,3,2,4,2,4,4,2.2,2.71428571428571,3.5,3
"CHN1.2",24,1,3,3,2,2,3,3,2,2,2,3,2,3,3,2,3,2,2,2,3,2,2,2,3,2,4,1,4,4,2.6,2.42857142857143,2.25,2.85714285714286
"CHN1.2",NA,0,0,1,1,2,1,3,1,1,1,4,5,1,1,3,3,3,2,1,3,1,5,1,5,3,4,4,4,4,1.6,2,2.625,3.57142857142857
"CHN1.2",NA,0,0,3,2,1,1,2,4,3,1,4,3,3,3,2,2,2,2,1,2,2,3,1,4,3,5,2,4,1,1.8,3,2,2.85714285714286
"CHN1.2",NA,0,0,3,2,2,2,3,4,3,3,4,3,4,4,2,3,4,4,4,4,2,5,1,1,3,3,3,4,5,2.4,3.57142857142857,3.5,2.85714285714286
"CHN1.2",NA,0,0,2,2,2,1,2,4,4,1,4,2,1,3,4,4,2,2,3,4,2,3,2,5,1,3,2,4,4,1.8,2.71428571428571,3,3
"CHN1.2",NA,0,0,1,2,1,3,2,5,4,2,4,5,4,2,3,2,3,5,2,3,1,3,2,4,4,4,5,3,4,1.8,3.71428571428571,2.75,3.71428571428571
