"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","Check","FD","SD","UP","FW"
"ENG1.2",2,21,2,3,4,2,2,1,4,4,1,2,4,4,2,2,4,2,1,2,4,4,2,2,2,4,2,4,4,NA,1.6,2.28571428571429,3.75,2.85714285714286
"ENG1.2",1,20,1,3,3,2,1,4,4,4,1,3,2,3,2,4,4,2,1,5,3,3,2,4,2,4,3,2,4,NA,1.2,3.85714285714286,3.25,2.42857142857143
"ENG1.2",2,21,2,3,2,3,2,4,3,4,2,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,4,4,NA,2,3.14285714285714,2.5,3
"ENG1.2",2,19,1,1,2,4,1,1,4,4,1,3,2,2,1,3,4,4,1,1,1,1,4,1,4,3,1,2,5,NA,1,1.85714285714286,2.5,3.42857142857143
"ENG1.2",1,20,2,3,3,4,2,2,1,4,2,3,4,4,2,1,4,4,2,2,3,4,4,4,4,4,3,2,3,NA,2,2.71428571428571,3.125,3.71428571428571
"ENG1.2",2,20,2,4,2,2,2,2,4,2,1,3,3,2,2,3,4,2,2,2,4,3,2,2,2,3,2,1,4,NA,1.8,2.71428571428571,3.25,1.85714285714286
"ENG1.2",2,20,1,3,4,3,2,3,4,4,1,4,4,2,3,4,4,3,1,5,3,4,3,4,2,5,4,5,5,NA,1.6,4,4,3.14285714285714
"ENG1.2",1,20,1,2,3,2,1,2,4,2,1,2,2,2,2,3,4,1,1,3,2,3,4,4,1,3,2,3,4,NA,1.2,2.71428571428571,3,2.14285714285714
"ENG1.2",1,20,1,2,2,2,1,1,4,3,1,2,2,3,2,3,4,1,1,2,3,3,4,3,2,4,2,2,4,NA,1.2,2.42857142857143,3,2.42857142857143
"ENG1.2",1,20,2,4,4,4,2,4,3,4,2,3,2,4,2,4,4,3,2,5,2,4,3,4,3,4,3,4,3,NA,2,4,3.125,3.57142857142857
"ENG1.2",2,23,1,2,2,2,1,1,2,2,1,2,2,2,1,2,4,2,2,2,2,3,2,3,2,3,2,2,4,NA,1.2,2.14285714285714,2.625,2
"ENG1.2",2,20,3,3,4,2,2,3,4,3,2,2,4,3,4,4,2,2,3,3,3,4,2,3,2,3,4,3,4,NA,2.8,3,3.625,2.42857142857143
"ENG1.2",2,20,3,4,4,3,3,3,5,4,3,2,4,2,2,2,4,4,4,3,3,4,3,3,2,4,3,2,3,NA,3,3,3.75,2.85714285714286
"ENG1.2",2,19,1,1,3,2,1,1,5,5,1,1,3,4,2,3,4,4,1,3,3,4,4,1,4,1,2,5,5,NA,1.2,1.57142857142857,3.625,4
"ENG1.2",2,20,2,3,2,4,2,1,4,3,2,2,3,2,1,2,3,4,2,2,2,4,3,3,2,3,2,2,3,NA,1.8,2.28571428571429,2.875,2.85714285714286
"ENG1.2",1,20,1,3,1,1,5,3,2,1,2,4,4,1,2,5,1,1,2,2,1,2,1,4,1,5,1,2,1,NA,2.4,3.71428571428571,1.625,1.14285714285714
"ENG1.2",1,21,1,1,2,1,1,3,2,2,1,1,4,1,3,2,4,1,1,2,2,4,3,2,1,2,2,1,4,NA,1.4,1.85714285714286,3,1.42857142857143
"ENG1.2",2,20,1,5,3,3,1,4,4,4,1,3,2,4,1,5,3,4,1,2,2,3,4,3,4,2,2,2,3,NA,1,3.42857142857143,2.75,3.57142857142857
"ENG1.2",1,21,4,4,3,2,3,5,1,2,4,5,4,1,4,2,2,2,4,5,3,3,1,5,3,4,4,5,2,NA,3.8,4.28571428571429,2.75,2.28571428571429
"ENG1.2",2,22,1,4,1,4,1,4,5,5,1,4,4,5,1,5,2,5,1,4,2,1,4,4,4,3,1,4,4,NA,1,4,2.5,4.42857142857143
"ENG1.2",2,21,3,4,3,3,3,2,3,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,NA,3.2,3,3,3.57142857142857
"ENG1.2",1,21,1,3,3,4,1,2,2,5,1,2,3,4,1,3,2,4,2,2,4,3,4,4,4,4,4,4,5,NA,1.2,2.85714285714286,3.25,4.14285714285714
"ENG1.2",2,20,2,3,4,3,1,2,3,2,2,3,3,2,2,3,4,1,1,3,3,2,3,3,2,3,2,3,3,NA,1.6,2.85714285714286,3,2.28571428571429
"ENG1.2",2,21,1,3,2,4,1,2,1,5,1,3,1,4,1,4,1,2,1,3,1,1,4,5,4,5,1,2,3,NA,1,3.57142857142857,1.375,3.57142857142857
"ENG1.2",2,21,3,3,3,3,2,2,4,3,3,3,3,2,3,4,3,2,3,2,2,2,4,2,3,4,2,3,5,NA,2.8,2.85714285714286,3,2.85714285714286
"ENG1.2",1,20,1,5,1,1,1,1,1,5,1,4,1,1,3,4,4,1,1,4,1,1,3,4,1,4,1,1,5,NA,1.4,3.71428571428571,1.875,1.85714285714286
"ENG1.2",1,21,1,3,1,1,5,5,1,4,1,3,4,1,2,5,5,1,1,5,5,5,1,5,1,3,4,3,5,NA,2,4.14285714285714,3.75,1.71428571428571
"ENG1.2",2,21,3,1,4,2,3,1,4,3,4,1,3,4,2,1,3,2,4,1,3,3,1,1,2,3,4,2,3,NA,3.2,1.28571428571429,3.375,2.28571428571429
"ENG1.2",1,23,1,3,2,2,1,1,4,5,1,2,2,3,2,3,2,4,2,3,3,3,2,3,4,3,2,3,4,NA,1.4,2.57142857142857,2.75,3.28571428571429
"ENG1.2",2,20,1,4,2,4,1,2,4,4,1,3,2,4,1,4,3,3,2,4,2,2,3,4,4,4,2,4,5,NA,1.2,3.57142857142857,2.75,3.71428571428571
"ENG1.2",2,19,2,3,2,4,1,2,4,3,2,3,4,3,2,2,4,2,2,3,2,4,3,1,2,3,3,3,4,NA,1.8,2.42857142857143,3.375,2.85714285714286
"ENG1.2",2,18,2,4,3,4,2,4,4,5,2,4,2,5,2,3,4,4,2,4,2,2,2,4,4,4,2,3,3,NA,2,3.85714285714286,2.75,3.85714285714286
"ENG1.2",2,18,1,3,3,4,1,1,4,4,1,3,2,3,2,4,2,4,1,4,3,1,4,4,2,4,2,4,4,NA,1.2,3.28571428571429,2.625,3.57142857142857
"ENG1.2",1,20,1,3,2,2,1,1,4,3,1,2,2,2,1,2,2,2,2,3,2,2,1,3,2,3,2,4,4,NA,1.2,2.42857142857143,2.5,2.28571428571429
"ENG1.2",2,19,1,4,2,4,1,4,2,5,1,3,2,4,1,4,2,5,2,4,2,2,4,4,5,3,2,4,3,NA,1.2,3.71428571428571,2.125,4.42857142857143
"ENG1.2",2,20,2,3,2,2,1,2,4,4,1,2,2,2,2,3,2,2,3,3,2,3,4,3,3,4,4,2,3,NA,1.8,2.85714285714286,2.75,2.71428571428571
"ENG1.2",2,19,2,4,2,3,2,2,3,4,3,2,2,5,2,3,2,4,3,3,2,2,3,4,3,3,2,3,3,NA,2.4,3,2.25,3.57142857142857
"ENG1.2",2,18,2,4,3,2,2,2,2,4,2,2,3,1,2,4,3,3,3,3,4,4,3,4,2,4,3,2,4,NA,2.2,3.28571428571429,3.25,2.42857142857143
"ENG1.3",2,31,1,4,2,4,1,5,5,5,1,1,4,4,1,2,4,5,1,4,5,1,4,3,4,2,2,4,5,NA,1,3,3.5,4.28571428571429
"ENG1.3",1,37,1,2,3,5,1,2,5,5,1,1,5,3,1,4,4,5,1,5,5,1,5,3,5,3,3,4,5,NA,1,2.85714285714286,3.875,4.57142857142857
"ENG1.3",2,26,1,5,4,4,1,4,4,4,1,1,4,2,1,2,4,4,1,2,4,5,4,1,4,2,5,4,5,NA,1,2.42857142857143,4.375,3.71428571428571
"ENG1.3",2,33,4,4,4,1,4,2,5,4,2,2,4,2,4,2,4,4,2,4,4,5,5,4,5,4,2,2,2,NA,3.2,3.14285714285714,3.75,3.28571428571429
"ENG1.3",2,31,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,2,4,3,2,3,NA,2.8,3.14285714285714,3,2.42857142857143
"ENG1.3",1,30,1,2,1,4,1,1,3,5,1,1,3,4,1,3,4,4,1,4,2,2,4,2,4,1,1,4,3,NA,1,2,2.375,4.14285714285714
"ENG1.3",2,27,2,3,4,4,2,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,5,2,4,2,4,4,4,NA,2.8,2.71428571428571,4,4.14285714285714
"ENG1.3",1,33,3,4,5,4,2,1,4,4,3,2,5,4,4,4,5,2,4,4,5,4,2,4,2,5,3,4,2,NA,3.2,3.42857142857143,4.125,3.14285714285714
"ENG1.3",1,36,2,2,2,3,2,1,3,4,2,1,3,3,2,3,3,5,3,4,3,2,4,1,3,3,2,4,4,NA,2.2,2.14285714285714,2.75,3.71428571428571
"ENG1.3",1,27,1,4,4,4,1,4,4,5,1,4,4,5,1,4,5,5,1,5,4,5,2,3,5,3,4,5,5,NA,1,3.85714285714286,4.375,4.42857142857143
"ENG1.3",2,35,2,3,2,4,2,2,4,4,2,2,3,4,2,3,3,4,2,3,3,2,4,3,4,3,2,4,4,NA,2,2.71428571428571,2.875,4
"ENG1.3",1,36,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,3,3,4,3,4,3,4,4,4,4,NA,3.4,3.57142857142857,3.875,3.42857142857143
"ENG1.3",1,35,5,5,2,5,4,3,2,5,5,5,2,2,5,2,2,5,5,5,1,2,1,3,5,2,2,2,2,NA,4.8,3.57142857142857,1.875,3.57142857142857
"ENG1.3",2,29,4,2,4,2,2,4,2,4,2,2,2,4,1,4,2,3,4,2,2,3,4,4,3,4,2,5,2,NA,2.6,3.14285714285714,2.375,3.57142857142857
"ENG1.3",1,47,3,4,3,4,3,2,4,4,3,3,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4,4,4,NA,2.8,3.14285714285714,3.625,3.85714285714286
"ENG1.3",1,48,1,2,2,4,1,1,2,5,1,1,1,5,1,1,3,5,2,2,1,2,5,1,5,1,2,4,3,NA,1.2,1.28571428571429,2,4.71428571428571
"ENG1.3",1,42,2,4,3,4,1,3,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,3,4,4,4,NA,1.8,2.71428571428571,3.875,3.42857142857143
"ENG1.3",1,39,2,2,2,4,1,4,4,4,2,2,3,4,1,3,2,4,2,3,2,2,4,2,3,2,2,4,4,NA,1.6,2.57142857142857,2.625,3.85714285714286
"ENG1.3",2,37,2,2,2,4,2,2,4,4,2,2,4,5,2,4,4,2,2,4,4,2,4,4,4,2,2,4,4,NA,2,2.85714285714286,3.25,3.85714285714286
"ENG1.3",2,29,3,3,2,3,4,3,2,4,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3,NA,3,3.28571428571429,2.625,2.85714285714286
"ENG1.3",1,29,2,1,2,2,2,1,2,3,2,1,1,2,1,4,2,1,2,2,2,4,2,3,1,4,2,1,3,NA,1.8,2.28571428571429,2.25,1.71428571428571
"ENG1.3",1,30,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,NA,4.4,4.57142857142857,4.625,4.57142857142857
"ENG1.3",1,42,1,4,1,5,1,3,3,5,1,1,2,3,1,3,3,5,1,3,3,2,5,2,5,2,2,4,5,NA,1,2.57142857142857,2.625,4.57142857142857
"ENG1.3",1,44,1,2,4,3,1,1,4,5,1,2,4,3,2,3,4,4,1,5,4,3,4,2,4,3,4,3,4,NA,1.2,2.57142857142857,3.875,3.71428571428571
"ENG1.3",1,29,2,2,2,5,2,3,5,5,2,2,2,4,1,1,4,4,2,3,2,2,4,2,4,2,2,4,5,NA,1.8,2.14285714285714,3,4.28571428571429
"ENG1.3",2,37,2,3,2,5,1,1,2,5,2,2,1,5,2,4,3,5,3,2,2,1,5,4,5,4,2,5,2,NA,2,2.85714285714286,1.875,5
"ENG1.3",1,44,2,1,2,2,2,2,4,4,2,2,2,4,1,3,3,3,1,1,2,3,2,3,3,3,2,3,4,NA,1.6,2.14285714285714,2.75,3
"ENG1.3",2,32,1,3,2,5,1,3,5,5,1,2,3,5,1,4,4,5,1,3,3,1,5,4,5,4,1,4,5,NA,1,3.28571428571429,3,4.85714285714286
"ENG1.3",1,37,5,4,5,4,2,4,5,4,4,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,5,5,NA,3.8,3.85714285714286,4.5,4
"ENG1.3",1,20,2,4,2,3,1,2,2,4,2,3,4,2,2,4,4,4,2,3,4,4,3,4,3,4,4,2,4,NA,1.8,3.42857142857143,3.5,3
"ENG1.3",2,29,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,3.8,4,3.875,3.85714285714286
"ENG1.3",2,23,3,4,3,3,1,4,4,4,5,2,2,4,4,4,4,4,4,4,4,2,1,4,2,3,2,4,2,NA,3.4,3.57142857142857,2.875,3.14285714285714
"ENG1.3",2,54,1,2,1,5,1,1,4,5,2,1,2,4,2,2,4,5,2,3,2,2,5,1,4,1,1,4,4,NA,1.6,1.57142857142857,2.5,4.57142857142857
"ENG1.3",2,62,2,3,2,4,2,2,4,4,3,2,4,4,2,3,2,4,3,2,3,2,4,3,2,3,2,3,4,NA,2.4,2.57142857142857,2.875,3.57142857142857
"ENG1.3",1,47,1,1,2,4,2,2,3,4,1,3,2,3,2,4,3,4,1,3,2,2,4,3,3,3,2,2,3,NA,1.4,2.71428571428571,2.375,3.42857142857143
"ENG1.3",1,28,1,3,3,5,1,4,4,5,1,1,4,4,1,4,4,5,1,5,4,3,5,4,3,3,3,5,5,NA,1,3.42857142857143,3.75,4.57142857142857
"ENG1.3",1,32,2,3,4,5,2,2,3,5,3,3,3,4,2,4,3,3,2,5,4,4,5,3,3,3,4,5,3,NA,2.2,3.28571428571429,3.5,4.28571428571429
"ENG1.3",2,37,1,2,1,5,1,2,5,5,1,1,5,5,1,1,5,5,2,1,5,1,4,1,5,1,1,5,5,NA,1.2,1.28571428571429,3.5,4.85714285714286
"ENG1.3",2,58,1,3,1,4,1,2,3,5,1,3,2,3,1,4,4,4,1,2,2,1,4,3,4,4,1,3,3,NA,1,3,2.125,3.85714285714286
"ENG1.3",1,22,5,5,4,5,4,3,5,4,4,3,4,4,5,3,4,4,4,4,4,5,4,3,4,4,4,5,5,NA,4.4,3.57142857142857,4.375,4.28571428571429
"ENG1.3",1,31,1,1,4,4,1,4,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,1,4,1,1,4,4,NA,1.6,1.85714285714286,3.625,4
"ENG1.3",1,26,3,2,3,5,1,2,4,4,3,3,4,5,2,3,4,4,3,2,4,3,4,4,4,1,3,4,4,NA,2.4,2.42857142857143,3.625,4.28571428571429
"ENG1.3",1,33,1,2,2,4,2,1,3,4,3,1,2,3,1,2,2,4,3,2,2,2,3,4,4,2,2,2,2,NA,2,2,2.125,3.42857142857143
"ENG1.3",2,53,1,3,2,5,1,2,4,5,2,2,2,2,2,3,3,4,3,2,2,4,4,2,4,4,4,2,4,NA,1.8,2.57142857142857,3.125,3.71428571428571
"ENG1.3",1,41,4,4,3,4,3,1,4,4,4,2,4,4,2,2,4,5,4,2,2,2,3,2,4,4,2,4,4,NA,3.4,2.42857142857143,3.125,4
"ENG1.3",2,60,4,5,5,4,4,2,5,4,3,5,5,2,4,5,4,3,4,5,5,5,2,3,2,4,4,1,4,NA,3.8,4.14285714285714,4.625,2.57142857142857
"ENG1.3",1,24,1,1,1,5,1,1,5,5,1,1,5,5,1,1,3,5,1,1,4,4,5,1,5,1,5,5,5,NA,1,1,4,5
"ENG1.3",1,25,2,3,3,5,2,3,3,5,2,2,3,5,2,3,5,5,5,5,5,5,5,2,5,2,5,5,2,NA,2.6,2.85714285714286,3.875,5
"ENG1.3",2,61,2,4,3,3,2,2,2,4,3,2,3,4,2,3,4,2,4,2,3,2,4,2,1,2,3,4,2,NA,2.6,2.42857142857143,2.75,3.14285714285714
"ENG1.3",1,28,3,3,3,3,2,3,3,4,2,3,3,4,2,4,4,3,4,3,2,3,3,3,3,3,3,4,3,NA,2.6,3.14285714285714,3,3.42857142857143
"ENG1.3",1,53,4,1,4,4,1,1,5,5,4,1,4,4,1,5,4,5,4,1,4,4,5,2,5,4,4,5,4,NA,2.8,2.14285714285714,4.125,4.71428571428571
"ENG1.3",1,31,1,2,2,5,1,1,5,4,1,2,4,2,1,4,4,4,1,4,4,1,5,4,4,4,2,4,5,NA,1,3,3.375,4
"ENG1.3",1,38,2,2,2,4,2,3,4,4,2,2,4,4,2,4,4,4,3,3,3,1,3,2,4,4,3,4,4,NA,2.2,2.85714285714286,3.125,3.85714285714286
"ENG1.3",2,30,3,4,3,4,2,2,4,4,2,2,4,2,4,4,5,4,2,3,2,4,4,4,2,2,4,4,2,NA,2.6,3,3.5,3.42857142857143
"ENG1.3",2,60,1,3,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,2,4,3,3,4,1,2,2,4,3,NA,2.2,2.57142857142857,3,2.71428571428571
"ENG1.3",2,23,2,3,1,1,3,1,2,5,2,3,2,1,2,4,2,2,2,3,2,3,1,2,1,4,2,2,1,NA,2.2,2.85714285714286,1.875,1.85714285714286
"ENG1.3",1,30,4,3,3,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,3,5,4,3,3,3,4,4,NA,4.2,4.14285714285714,3.875,4.14285714285714
"ENG1.3",2,48,2,2,2,4,2,2,4,4,2,3,3,4,2,4,4,4,1,4,2,2,4,2,4,3,2,5,4,NA,1.8,2.85714285714286,2.875,4.14285714285714
"ENG1.3",2,38,1,3,1,4,1,2,5,4,1,2,2,4,1,2,2,4,1,2,1,2,4,4,4,4,2,4,4,NA,1,2.71428571428571,2.375,4
"ENG1.3",2,30,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,3.6,3.85714285714286,3.75,4
"ENG1.3",1,31,1,2,3,4,1,2,4,4,1,2,3,4,2,4,3,4,2,4,3,2,4,4,5,3,3,4,4,NA,1.4,3,3.125,4.14285714285714
"ENG1.3",1,21,3,4,2,5,3,5,4,4,2,5,3,4,2,5,4,5,3,4,5,4,4,4,4,4,4,4,4,NA,2.6,4.42857142857143,3.75,4.28571428571429
"ENG1.3",2,44,2,2,2,2,2,3,4,4,2,2,4,2,2,4,4,3,2,4,2,4,2,3,2,4,4,4,4,NA,2,3.14285714285714,3.5,2.71428571428571
"ENG1.3",1,20,1,4,4,2,1,2,3,4,2,2,2,2,1,4,2,3,2,4,2,4,2,5,1,4,4,4,5,NA,1.4,3.57142857142857,3.25,2.57142857142857
"ENG1.3",1,31,2,1,5,4,1,1,3,4,3,4,4,3,5,3,4,4,1,3,4,3,5,2,4,1,3,4,2,NA,2.4,2.14285714285714,3.5,4
"ENG1.3",1,54,1,2,2,4,1,3,3,4,1,2,2,4,2,4,4,4,2,2,4,3,4,4,4,2,3,4,4,NA,1.4,2.71428571428571,3.125,4
"ENG1.3",1,34,4,4,5,5,4,2,5,4,4,4,4,5,4,5,5,4,4,4,3,2,5,4,4,4,2,4,3,NA,4,3.85714285714286,3.625,4.42857142857143
"ENG1.3",1,26,2,4,3,3,2,4,3,3,3,3,3,3,4,2,2,3,3,3,3,3,4,3,4,4,3,4,3,NA,2.8,3.28571428571429,2.875,3.42857142857143
"ENG1.3",2,29,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4,4,4,4,5,4,5,4,3,4,3,4,4,NA,4.2,3.85714285714286,3.875,4.14285714285714
"ENG1.3",1,43,3,3,3,5,4,4,5,3,1,1,4,5,4,1,5,4,5,5,2,1,3,3,5,2,5,4,5,NA,3.4,2.71428571428571,3.75,4.14285714285714
