id,age,gender,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27,DQS_A_4,FAD_W_1,FAD_W_2,FAD_W_3,FAD_W_4,FAD_W_5,FAD_W_6,FAD_W_7,FAD_W_8,FAD_W_9,FAD_W_10,FAD_W_11,FAD_W_12,FAD_W_13,FAD_W_14,FAD_W_15,FAD_W_16,FAD_W_17,FAD_W_18,FAD_W_19,FAD_W_20,FAD_W_21,FAD_W_22,FAD_W_23,FAD_W_24,FAD_W_25,FAD_W_26,FAD_W_27,DQS_B_2,LOC_1,LOC_2,LOC_3,LOC_4,LOC_5,LOC_6,LOC_7,Rosenberg_1,Rosenberg_2,Rosenberg_3,Rosenberg_4,Rosenberg_5,Rosenberg_6,Rosenberg_7,Rosenberg_8,Rosenberg_9,Rosenberg_10,BSCS_1,BSCS_2,BSCS_3,BSCS_4,BSCS_5,BSCS_6,BSCS_7,BSCS_8,BSCS_9,BSCS_10,BSCS_11,BSCS_12,BSCS_13,DQS_C_3,GBJW_1,GBJW_2,GBJW_3,GBJW_4,GBJW_5,GBJW_6,GBJW_7,sample_id
334,48,3,3,4,3,4,3,3,4,4,3,3,4,3,4,3,3,4,4,3,3,4,3,4,3,3,4,3,4,4,3,3,4,3,3,3,4,4,3,3,4,3,4,3,4,4,4,3,3,4,3,3,4,4,4,3,4,2,4,5,5,4,5,5,4,3,3,2,3,3,2,3,3,2,3,4,5,3,3,3,5,3,1,3,1,3,4,5,3,4,3,4,2,4,2,2,1
335,30,2,3,5,3,5,4,2,5,4,2,3,5,2,4,2,3,4,4,4,4,4,3,4,4,3,4,5,4,4,2,4,4,2,3,2,4,3,2,3,2,3,4,3,4,4,2,4,4,5,3,3,4,4,4,4,4,2,2,5,5,5,5,6,5,1,4,1,1,1,4,1,4,4,2,3,3,3,1,5,4,4,1,3,2,3,4,4,3,4,4,4,1,4,4,3,1
336,42,2,4,4,3,4,2,2,4,1,2,3,4,2,4,4,5,5,4,2,2,4,4,4,2,2,2,3,4,4,2,4,4,3,2,2,4,4,2,3,4,4,4,4,4,5,5,2,2,4,4,4,3,3,4,4,4,2,3,6,5,3,4,6,6,3,3,3,2,2,3,3,3,2,4,4,5,2,3,3,5,2,2,4,3,4,4,4,3,3,4,2,1,5,1,1,1
337,25,2,3,4,4,3,5,3,3,3,3,5,3,4,4,3,3,4,3,5,3,4,2,3,3,3,3,2,3,4,3,2,2,2,3,2,3,2,3,2,2,3,4,2,2,3,2,2,3,2,5,2,3,3,2,2,3,2,4,2,3,3,4,4,2,2,4,2,1,3,3,4,3,2,2,3,5,4,2,3,2,2,3,3,3,3,5,3,3,3,4,2,1,2,5,3,1
338,43,2,4,4,2,3,4,1,4,3,3,4,4,2,3,4,4,3,4,4,4,2,3,4,3,4,4,4,4,4,4,4,3,3,3,1,4,3,4,5,4,2,4,4,4,3,4,4,3,3,3,4,3,4,2,4,4,2,5,3,5,5,2,5,4,2,3,2,3,3,3,3,4,3,2,2,4,4,2,4,3,4,3,4,3,2,2,2,3,4,4,4,2,4,2,2,1
339,29,1,2,4,2,4,1,2,2,4,2,3,2,4,2,3,5,5,3,2,2,3,4,4,4,4,2,3,2,4,2,3,2,2,2,2,2,4,2,4,2,3,2,4,4,4,3,4,2,4,4,3,4,4,2,2,2,2,6,3,5,4,5,7,6,4,3,3,3,2,3,3,3,2,3,3,4,3,3,5,3,3,3,3,1,2,2,4,3,5,5,5,5,5,5,4,1
340,40,2,3,4,4,3,3,2,4,3,3,3,4,1,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,2,4,3,3,4,3,3,5,3,4,4,4,3,4,4,3,4,3,4,4,2,4,2,5,5,5,5,5,4,4,2,3,3,3,2,2,3,3,2,3,1,3,3,1,3,1,3,3,2,4,1,2,1,3,4,4,3,2,4,2,3,2
341,26,2,2,3,4,5,2,3,4,5,2,1,4,4,2,2,4,5,3,3,4,3,5,2,5,2,3,4,4,4,2,4,4,4,2,3,3,4,2,1,4,4,3,3,4,4,3,3,4,3,4,2,3,4,3,4,4,2,3,4,4,3,5,5,6,2,3,3,3,3,3,3,3,2,3,2,3,3,4,5,4,2,2,2,3,2,3,4,3,2,4,2,2,4,2,2,2
342,40,2,2,2,5,4,2,2,5,4,1,2,5,3,2,2,2,4,1,2,2,5,4,4,3,4,4,4,5,4,1,2,5,2,2,2,4,3,1,3,5,3,4,2,4,4,1,2,4,5,2,4,4,4,5,2,4,2,2,2,5,3,5,6,6,4,1,4,4,1,2,4,3,1,4,1,2,4,3,4,1,4,4,1,4,2,3,2,3,3,4,4,3,4,3,2,1
343,43,2,2,4,2,3,2,1,4,3,3,4,4,3,2,4,4,4,4,4,3,2,3,4,3,4,4,4,4,4,3,4,3,3,2,1,4,3,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,2,4,4,4,5,3,5,5,2,3,2,3,3,3,3,4,3,2,2,4,3,2,4,2,4,3,2,3,2,2,2,3,4,4,4,1,4,1,1,1
344,50,2,2,2,2,4,3,2,4,3,3,3,4,2,2,3,4,4,4,2,4,3,4,4,2,4,3,2,2,4,2,4,2,2,3,2,4,3,1,2,4,1,2,4,4,5,2,2,4,4,3,4,3,4,2,2,4,2,3,3,2,2,4,5,3,3,2,2,3,3,1,3,2,2,3,2,2,2,2,5,2,4,1,1,4,2,1,1,3,4,3,3,4,3,2,2,1
345,35,2,3,2,4,4,4,4,4,4,4,3,4,4,4,2,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,3,5,2,2,2,2,5,1,4,2,2,4,2,1,4,4,2,4,5,4,4,4,4,2,2,4,3,4,4,4,3,5,5,5,2,4,2,2,1
346,39,2,4,4,3,2,3,1,2,2,4,3,3,3,2,4,4,5,5,2,3,4,2,4,4,4,2,2,2,4,4,4,4,2,3,1,4,4,4,4,4,3,4,4,4,4,5,2,2,4,2,4,2,4,5,4,3,2,5,6,5,5,5,6,4,3,3,3,4,1,2,3,3,1,3,2,4,2,3,4,4,3,4,1,2,2,4,4,3,6,5,4,4,6,3,3,1
347,33,1,2,3,3,3,3,3,4,3,3,2,4,3,4,3,3,4,2,3,4,3,2,2,4,4,3,2,4,4,3,3,3,2,3,3,4,4,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,4,2,5,5,5,5,4,6,4,2,3,2,1,3,3,2,2,3,2,3,4,2,2,3,3,2,2,4,2,3,4,4,3,4,3,4,4,4,3,3,1
348,40,2,3,4,4,4,2,3,3,3,3,3,3,3,3,4,3,4,3,4,2,3,3,3,3,3,4,3,4,4,3,4,3,2,3,3,4,3,3,4,2,4,3,4,3,4,3,4,4,2,5,3,3,3,1,4,2,2,4,4,4,4,5,6,6,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,4,4,3,3,3,4,2
349,45,2,2,4,3,4,2,3,2,3,2,2,3,3,3,4,2,4,2,4,2,3,2,3,3,3,2,4,3,4,2,3,3,2,3,3,2,2,2,2,3,3,2,4,3,3,2,4,2,3,4,3,2,4,2,3,2,2,3,5,4,5,3,4,4,2,3,2,2,3,3,2,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,2,2
350,23,1,2,4,4,5,2,4,4,3,2,4,3,5,4,4,4,4,3,4,3,2,5,4,4,4,4,4,4,4,3,3,4,3,3,2,4,4,2,4,3,5,4,4,4,3,4,4,4,4,4,5,3,4,3,4,4,2,6,6,6,6,7,7,7,3,3,3,3,3,3,3,3,3,3,4,4,3,3,5,4,3,2,4,4,4,4,4,3,5,6,5,3,5,4,6,2
351,42,2,3,4,5,5,2,2,4,4,4,3,4,3,3,4,5,2,4,4,2,5,5,4,4,3,4,5,4,4,4,5,4,3,4,2,5,4,4,3,4,4,5,5,4,2,4,4,4,5,5,4,3,5,4,4,5,2,6,5,5,6,5,5,3,2,4,2,2,3,3,3,4,3,2,2,2,2,2,4,1,4,4,1,4,2,2,2,3,2,4,2,3,3,2,1,2
352,33,2,1,3,4,4,2,2,4,5,1,1,4,4,2,3,3,5,2,2,3,2,4,2,4,3,4,4,3,4,1,3,4,3,2,2,4,4,1,2,4,4,2,2,4,5,1,3,4,2,4,3,4,3,2,4,4,2,5,5,3,6,6,5,5,1,4,2,2,4,4,2,3,4,1,3,2,2,3,4,3,2,1,1,3,3,2,1,3,4,4,4,3,4,3,4,1
353,42,2,1,5,5,4,2,1,5,4,1,5,5,2,4,2,4,5,5,2,4,3,2,5,4,1,1,2,5,4,2,5,4,1,2,1,5,5,1,4,5,2,4,2,5,5,1,2,3,4,2,5,5,5,2,2,5,2,2,3,2,7,5,4,6,3,1,3,4,2,1,4,2,1,3,1,4,1,4,5,4,2,2,1,5,4,1,2,3,1,1,2,1,2,1,1,1
354,20,1,1,2,1,5,1,1,5,3,1,1,3,2,3,3,3,4,5,4,3,1,4,5,1,3,1,4,5,4,1,1,1,4,1,1,5,2,1,1,2,1,1,1,4,2,4,3,3,1,4,4,4,4,1,2,5,2,5,4,5,2,2,1,1,4,1,4,4,4,1,4,1,1,4,4,3,4,3,5,4,4,4,1,4,3,4,3,3,4,2,4,1,2,1,4,1
355,61,1,1,2,2,3,1,3,2,4,1,1,3,3,2,4,2,4,3,3,1,4,3,2,4,4,4,3,3,4,1,4,2,3,2,3,5,3,5,2,2,2,1,4,2,4,2,2,3,4,4,2,4,4,4,2,2,2,4,6,6,6,4,5,4,2,3,3,3,2,2,2,3,1,3,4,3,3,4,4,4,3,3,3,2,5,2,2,3,3,5,3,2,2,2,1,2
356,35,2,2,4,5,5,2,2,4,3,1,2,4,2,4,2,2,4,3,2,4,5,4,2,3,3,4,4,4,4,2,2,4,2,2,1,5,3,1,2,5,2,5,2,5,5,4,3,4,4,4,3,2,4,5,2,5,2,4,3,5,2,6,5,5,3,2,2,3,3,2,3,4,2,3,3,4,2,2,4,2,3,1,2,2,4,4,4,3,5,5,3,3,5,3,2,2
357,35,2,1,2,4,3,2,2,4,4,1,2,3,2,2,3,4,4,3,2,3,2,3,2,4,3,2,1,3,4,2,3,2,1,2,2,3,4,1,3,4,1,4,4,4,2,4,2,3,2,1,2,2,4,3,2,4,2,3,2,2,3,5,5,5,2,2,3,2,3,3,3,3,2,3,4,4,2,1,5,4,2,3,2,3,4,3,3,3,4,3,5,2,4,2,1,2
358,42,2,1,2,4,4,1,1,4,2,2,1,3,4,2,2,4,4,2,3,2,2,3,2,4,2,3,2,3,4,1,3,3,1,2,1,2,2,1,3,3,4,2,2,4,4,4,4,3,4,3,2,2,3,2,2,4,2,2,3,2,3,2,5,3,3,1,3,3,1,1,3,2,2,3,2,4,2,1,4,3,3,1,2,3,2,2,4,3,2,4,2,1,4,2,2,2
359,35,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,3,3,2
360,33,2,2,3,3,4,2,2,2,2,2,2,4,4,2,4,4,2,4,2,2,3,4,4,2,2,3,2,2,4,3,3,3,2,1,2,4,4,2,2,4,4,2,4,4,4,4,4,4,5,4,4,2,5,2,3,4,2,3,6,2,3,5,7,5,3,1,3,3,2,1,3,2,1,4,2,3,2,2,4,2,3,4,1,4,1,2,2,3,5,4,4,2,5,4,2,2
361,37,1,2,3,3,5,2,2,5,4,2,2,4,2,4,3,3,5,4,4,4,3,4,1,1,4,4,3,4,4,2,4,3,2,3,2,5,3,4,2,4,1,4,4,4,4,2,3,3,4,2,3,2,3,3,2,5,2,2,2,4,1,6,7,6,3,2,3,2,3,2,3,3,2,3,4,3,3,2,3,4,2,3,2,4,4,2,2,3,2,4,5,1,5,3,3,2
362,76,1,3,3,3,4,2,4,4,4,2,3,4,4,2,4,4,4,4,4,4,2,4,3,2,3,3,4,4,4,2,3,4,4,2,4,4,3,3,3,2,4,3,4,3,2,4,3,4,4,4,4,4,3,3,4,2,2,4,4,4,3,5,6,5,3,3,3,2,2,3,3,2,2,3,3,2,3,3,4,2,4,3,4,4,3,2,3,3,3,5,3,3,3,3,3,2
363,20,2,4,4,4,4,4,2,3,3,4,2,3,3,3,4,5,4,4,4,3,5,4,4,4,5,4,4,3,4,5,4,3,3,3,3,3,3,5,2,3,3,4,2,3,4,3,4,4,5,4,4,4,4,4,3,2,2,5,6,6,5,3,7,7,3,3,3,4,3,3,3,3,2,2,3,4,2,4,4,4,2,2,4,4,4,4,5,3,5,5,6,3,4,3,2,2
364,36,2,2,4,3,3,3,2,4,3,2,3,3,3,2,4,3,3,4,3,3,3,5,3,3,4,3,4,4,4,3,4,3,3,3,2,4,3,3,3,3,3,3,4,4,4,3,3,3,4,5,3,3,4,3,2,4,2,5,5,5,6,5,6,4,2,3,2,2,3,3,3,2,3,2,1,5,1,1,5,5,5,1,1,5,1,1,1,3,4,2,2,1,2,2,1,1
365,22,2,3,4,4,4,2,2,3,3,3,2,3,3,2,4,3,4,2,3,3,3,4,4,2,4,3,3,3,4,2,2,3,3,2,2,4,3,2,2,3,3,3,3,3,4,2,2,2,4,3,4,3,4,3,4,3,2,4,3,4,3,5,5,5,2,2,2,3,3,3,2,3,2,2,3,4,2,2,5,2,3,4,4,3,3,3,3,3,4,3,4,4,4,3,2,1
366,47,2,3,3,3,5,3,3,3,4,3,3,4,5,2,4,3,4,4,3,4,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,3,3,4,3,4,3,3,3,3,4,3,4,3,2,3,4,2,4,4,5,5,4,6,6,3,2,3,2,3,2,3,3,2,3,3,3,3,2,4,3,4,3,3,4,2,3,3,3,4,4,5,3,4,4,4,1
367,59,2,2,3,3,4,2,3,4,4,3,3,4,4,4,3,3,5,4,4,4,3,5,3,5,4,4,3,4,4,3,4,3,3,3,2,4,3,4,4,4,4,5,4,4,5,3,4,4,2,4,3,4,4,4,3,4,2,4,7,4,6,6,6,6,1,4,1,1,4,4,1,4,4,4,3,4,5,3,5,3,4,4,3,4,2,3,2,3,3,2,3,3,3,2,2,2
368,37,2,3,3,4,4,3,1,5,4,2,3,4,2,4,2,2,5,4,4,3,4,3,3,4,4,3,4,3,4,3,2,4,2,3,1,4,4,3,2,4,2,5,2,4,5,4,4,4,4,3,3,3,4,4,3,3,2,5,5,5,6,2,3,4,2,3,2,3,3,3,2,3,3,2,4,4,3,4,5,3,3,2,2,3,4,4,2,3,5,1,4,3,4,1,1,1
369,63,2,3,2,2,4,2,3,2,4,2,2,4,4,2,2,2,4,4,3,3,2,2,3,2,2,2,3,3,4,2,2,2,3,2,2,2,3,3,2,2,2,2,3,2,2,2,4,2,4,4,4,3,3,2,3,2,2,4,3,3,4,4,4,5,3,3,3,2,2,3,3,3,3,2,4,4,3,4,4,4,4,2,3,4,4,4,4,3,4,3,3,2,4,3,3,1
370,34,1,2,5,3,5,3,1,4,1,1,2,3,3,1,2,5,5,1,2,3,3,5,1,4,3,3,3,3,4,3,4,4,3,3,1,5,3,1,1,3,3,2,1,3,4,4,3,4,3,5,1,2,3,3,2,5,2,5,4,5,4,5,6,7,2,3,2,2,2,3,1,3,1,4,4,4,5,3,5,4,3,1,3,3,4,2,5,3,5,5,6,2,5,3,5,1
371,32,2,1,4,4,4,2,1,4,5,1,4,4,4,4,4,5,5,5,3,5,4,4,4,5,4,4,1,5,4,1,3,4,1,2,1,5,5,1,3,4,4,5,4,5,5,4,4,5,5,4,4,4,5,4,2,5,2,2,1,5,1,2,7,6,3,4,3,4,2,3,3,4,1,3,4,5,1,1,3,2,2,4,1,4,4,1,2,3,4,4,4,1,4,3,2,2
372,45,1,2,2,2,3,2,1,2,3,2,2,3,2,2,1,3,3,2,3,3,2,4,3,3,2,3,4,4,4,2,3,3,4,2,1,4,3,2,2,3,1,3,2,4,4,1,4,4,2,2,4,3,2,2,4,4,2,3,3,2,3,4,4,4,2,3,1,2,3,4,2,3,3,2,2,4,3,2,3,4,2,2,3,3,3,4,4,3,4,2,4,3,3,3,3,2
373,40,1,3,3,5,5,2,2,5,4,3,2,5,4,2,3,4,5,4,3,5,2,4,4,4,4,4,4,5,4,2,4,5,5,2,2,5,4,2,4,5,4,2,3,4,5,3,4,4,3,4,3,4,5,2,3,5,2,2,2,2,2,7,6,6,3,2,3,4,2,2,3,3,2,3,2,2,1,2,5,3,4,4,2,5,2,1,1,3,4,4,5,4,4,4,3,2
374,55,2,2,3,2,4,2,3,4,3,3,3,3,3,2,4,3,4,4,2,2,3,2,4,3,2,3,4,4,4,3,4,4,4,3,3,4,3,3,3,2,3,2,4,4,3,4,3,2,5,4,3,4,4,3,4,2,2,4,3,5,4,6,5,5,3,2,3,4,2,2,3,2,2,3,3,4,4,2,5,2,4,2,3,2,3,4,4,3,4,4,3,2,3,3,3,1
375,31,2,3,4,4,2,2,1,5,4,2,4,4,1,4,4,2,4,4,1,4,2,2,4,2,5,4,1,4,4,2,4,4,2,2,1,2,4,2,2,4,2,4,4,4,2,2,1,2,4,5,2,2,1,4,2,4,2,7,7,5,7,1,5,2,3,4,2,3,3,4,2,4,3,1,2,4,2,2,5,3,2,2,2,3,4,2,4,3,4,4,1,4,1,2,1,2
376,48,2,3,4,3,4,4,4,5,5,4,3,4,3,4,4,4,5,4,4,3,4,5,5,4,5,4,4,3,4,3,3,4,3,2,3,5,4,3,3,5,3,5,4,5,4,4,3,4,4,3,3,4,4,4,3,5,2,5,6,6,6,5,7,5,1,4,2,2,4,4,2,4,3,2,3,4,2,3,4,5,2,2,2,3,4,3,3,3,5,4,4,5,5,3,1,2
377,52,1,1,1,2,4,1,2,5,5,1,1,4,3,2,4,4,3,2,3,2,2,2,2,4,2,4,2,4,4,1,2,4,2,2,2,4,5,1,1,2,4,4,2,4,5,4,4,2,1,4,4,4,4,1,2,5,2,3,3,2,6,3,3,2,3,2,3,3,2,2,3,2,1,3,2,2,2,2,2,4,4,2,2,4,2,2,2,3,5,3,4,2,2,2,3,1
378,49,2,3,3,3,4,2,4,2,4,4,4,3,1,4,3,3,5,3,4,3,4,2,4,3,4,3,2,3,4,4,4,3,1,2,4,3,3,3,3,3,2,3,3,4,4,3,4,4,4,2,4,3,4,2,2,3,2,5,4,5,6,3,6,5,2,4,2,2,3,1,1,3,1,2,4,4,3,2,4,5,2,4,5,3,4,1,4,3,4,3,2,3,3,1,1,2
379,34,1,2,3,3,3,2,3,3,3,1,1,5,3,2,3,3,3,4,3,4,4,3,4,3,4,3,2,5,4,2,3,4,3,2,4,3,2,2,1,5,3,4,3,5,3,4,3,4,4,3,4,2,4,3,3,5,2,6,5,5,5,3,6,4,3,2,3,4,1,3,3,3,2,4,4,4,4,4,2,4,3,2,2,5,4,2,4,3,4,5,4,2,4,4,4,2
380,27,2,2,3,4,4,2,2,5,3,1,4,4,3,2,4,4,3,5,3,4,5,3,4,2,4,4,3,4,4,2,2,4,2,3,2,5,2,1,4,4,2,4,4,5,4,5,3,4,5,3,4,3,4,4,3,5,2,5,4,4,4,5,5,5,2,3,3,3,2,3,3,4,3,3,3,3,3,3,4,3,2,2,4,4,2,2,2,3,3,5,4,2,3,2,2,2
381,30,2,2,4,4,2,1,3,4,5,2,2,4,5,2,2,3,5,3,3,4,2,5,4,5,5,4,3,4,4,2,4,4,4,2,3,4,5,2,2,4,5,2,3,4,5,4,4,4,3,5,4,4,5,2,5,4,2,3,5,5,2,6,7,7,3,3,3,3,2,3,3,3,2,3,1,4,1,1,5,4,3,4,2,4,1,2,1,3,5,6,5,3,4,3,4,1
382,33,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,3,4,3,3,3,3,4,2,3,3,2,2,2,4,2,2,2,3,2,2,2,4,3,2,2,3,3,3,2,5,3,2,2,2,3,2,3,2,3,2,2,2,4,4,4,4,4,4,5,2,3,2,2,3,3,3,4,2,3,3,3,2,3,4,4,3,3,2,4,4,3,2,3,3,4,4,3,4,4,4,1
383,57,2,2,3,4,4,2,2,3,4,3,4,4,3,2,4,3,4,4,1,4,3,3,4,5,5,3,3,4,4,2,4,4,2,3,3,4,3,2,4,4,4,4,4,4,4,3,2,3,3,5,4,4,4,2,3,4,2,4,5,4,5,4,4,5,3,2,3,3,2,2,3,3,2,3,3,3,3,3,5,3,5,3,2,4,3,2,3,3,4,3,4,2,3,2,2,1
384,56,1,2,4,4,4,2,2,3,3,1,2,4,3,2,3,4,2,3,3,2,3,4,3,3,3,4,2,2,4,1,2,4,4,2,2,4,4,2,3,3,3,3,4,4,2,4,2,2,4,3,2,2,4,3,2,4,2,4,5,5,3,4,6,6,3,2,2,3,3,3,3,2,2,3,4,3,2,3,4,4,4,2,2,4,4,2,4,3,2,4,2,2,2,2,2,2
