Gender,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2,30,3,4,3,4,2,2,4,4,2,2,4,2,4,4,5,4,2,3,2,4,4,4,2,2,4,4,2
2,60,1,3,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,2,4,3,3,4,1,2,2,4,3
2,23,2,3,1,1,3,1,2,5,2,3,2,1,2,4,2,2,2,3,2,3,1,2,1,4,2,2,1
1,30,4,3,3,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,3,5,4,3,3,3,4,4
2,48,2,2,2,4,2,2,4,4,2,3,3,4,2,4,4,4,1,4,2,2,4,2,4,3,2,5,4
2,38,1,3,1,4,1,2,5,4,1,2,2,4,1,2,2,4,1,2,1,2,4,4,4,4,2,4,4
2,30,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,31,1,2,3,4,1,2,4,4,1,2,3,4,2,4,3,4,2,4,3,2,4,4,5,3,3,4,4
1,21,3,4,2,5,3,5,4,4,2,5,3,4,2,5,4,5,3,4,5,4,4,4,4,4,4,4,4
2,44,2,2,2,2,2,3,4,4,2,2,4,2,2,4,4,3,2,4,2,4,2,3,2,4,4,4,4
1,20,1,4,4,2,1,2,3,4,2,2,2,2,1,4,2,3,2,4,2,4,2,5,1,4,4,4,5
1,31,2,1,5,4,1,1,3,4,3,4,4,3,5,3,4,4,1,3,4,3,5,2,4,1,3,4,2
1,54,1,2,2,4,1,3,3,4,1,2,2,4,2,4,4,4,2,2,4,3,4,4,4,2,3,4,4
1,34,4,4,5,5,4,2,5,4,4,4,4,5,4,5,5,4,4,4,3,2,5,4,4,4,2,4,3
1,26,2,4,3,3,2,4,3,3,3,3,3,3,4,2,2,3,3,3,3,3,4,3,4,4,3,4,3
2,29,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4,4,4,4,5,4,5,4,3,4,3,4,4
1,43,3,3,3,5,4,4,5,3,1,1,4,5,4,1,5,4,5,5,2,1,3,3,5,2,5,4,5
2,33,2,3,3,5,2,2,4,4,2,3,4,4,3,4,3,5,2,3,3,3,4,2,4,3,3,4,4
1,39,2,4,2,4,2,2,4,4,2,5,4,4,2,4,4,5,2,2,2,2,4,2,4,4,2,4,4
1,52,3,4,4,3,2,2,4,4,2,4,4,3,2,4,4,4,2,3,4,4,3,4,3,4,3,4,4
1,48,1,3,2,3,2,1,5,4,1,4,2,2,2,4,2,4,2,3,2,2,2,2,4,4,2,3,3
1,31,1,3,3,3,1,1,4,4,2,1,3,3,1,2,2,3,2,3,2,3,4,3,3,4,3,2,4
1,29,3,3,2,4,3,5,4,4,3,4,3,5,5,2,4,4,3,4,5,3,3,5,3,5,4,2,3
1,54,4,3,4,3,2,3,4,4,2,3,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,3,2
2,44,4,4,2,3,3,3,2,5,3,3,3,3,2,4,4,4,3,3,3,5,4,4,4,4,4,4,4
1,27,2,2,2,4,2,1,5,4,2,2,4,4,2,2,5,4,4,2,4,2,2,3,3,2,2,3,4
1,40,5,4,4,4,4,2,4,4,4,2,4,5,4,2,5,4,4,4,4,4,4,4,4,2,4,4,4
1,33,2,4,1,5,1,1,3,5,1,1,2,5,1,2,2,5,1,4,1,1,5,4,5,2,2,5,3
2,69,4,5,2,5,4,3,2,5,4,5,2,3,4,2,2,5,4,5,2,2,1,3,5,3,2,2,2
1,26,2,4,2,4,1,4,4,4,2,2,2,4,2,4,2,4,1,1,4,4,4,4,4,3,2,4,4
3,32,1,5,5,1,3,3,4,3,1,5,4,1,3,5,4,1,3,3,4,4,1,3,1,5,4,1,3
2,44,3,4,3,2,4,2,4,5,4,4,4,2,4,4,2,4,4,4,2,4,2,2,5,2,4,4,2
1,30,4,3,4,3,4,5,5,5,4,4,4,4,5,4,5,4,3,3,3,4,5,5,3,4,3,4,5
 ,30,4,2,4,4,4,4,3,3,3,3,2,3,2,2,3,2,3,2,4,3,2,3,3,3,2,3,3
2,45,2,3,2,4,4,3,4,5,2,3,4,4,2,3,4,5,3,3,4,4,4,3,4,3,4,5,4
1,45,1,2,1,4,2,1,4,5,1,2,4,4,1,1,4,5,1,1,4,1,5,2,5,2,1,5,5
1,33,1,4,2,5,2,3,5,5,1,4,3,4,1,4,4,5,1,4,2,1,5,4,5,5,1,4,3
2,33,2,3,3,2,1,1,5,3,1,1,4,3,1,2,5,4,1,1,4,1,1,1,2,1,4,2,5
1,30,2,4,2,3,4,3,3,4,3,4,2,3,4,3,2,4,3,3,3,4,4,2,2,2,4,2,3
2,25,1,1,1,5,1,3,2,5,1,1,1,5,1,2,3,5,1,1,1,1,5,1,5,1,1,5,1
2,53,3,5,2,4,2,1,4,5,2,1,4,5,2,3,4,5,2,3,3,2,5,2,4,2,2,4,4
1,31,1,1,1,5,3,1,4,5,1,1,4,4,1,3,4,5,1,4,2,1,3,2,5,1,3,5,4
2,35,1,2,4,4,1,2,4,4,1,3,4,2,2,4,4,3,1,2,2,4,3,4,2,4,3,1,4
1,67,1,1,2,4,3,1,1,5,1,1,1,2,3,2,2,5,1,2,1,4,3,1,4,1,2,3,1
2,41,1,4,3,4,2,3,4,4,1,3,4,3,2,4,4,4,2,4,3,4,4,4,3,4,4,2,3
2,62,2,3,3,4,1,3,4,3,3,2,3,3,2,2,3,3,3,2,3,4,4,2,2,3,3,2,3
2,42,2,4,2,4,3,4,4,2,2,2,4,4,4,4,4,2,3,3,4,4,2,2,3,3,4,3,2
