id,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2846,1,3,1,5,1,1,5,3,1,1,3,5,1,1,3,5,3,1,3,3,5,3,5,3,1,1,3
2847,4,1,3,5,2,1,5,4,3,1,5,2,3,2,5,5,5,1,5,4,1,5,5,5,3,2,5
2848,2,4,4,4,4,2,5,4,2,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,2,4
2849,3,3,4,3,2,3,5,3,3,2,3,5,5,3,5,3,5,4,5,3,4,3,3,4,3,5,5
2850,3,3,2,4,2,1,4,3,2,2,4,3,2,2,4,4,4,2,3,4,4,3,3,4,3,4,5
2851,1,2,4,5,1,1,1,5,1,1,1,5,1,3,4,5,1,3,1,1,4,1,4,1,3,5,1
2852,3,2,1,3,2,3,4,4,2,4,2,1,2,3,4,4,5,2,4,3,5,2,4,4,4,2,5
2853,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
2854,4,4,4,4,4,2,5,5,3,2,5,3,3,2,5,5,4,3,4,4,3,3,4,3,4,3,4
2855,4,2,4,2,4,2,5,3,4,3,5,1,3,4,4,5,4,3,5,4,4,4,3,2,3,4,5
2856,3,1,3,1,4,1,2,4,3,3,1,5,4,5,2,3,2,3,5,5,5,5,2,4,2,4,2
2857,2,4,4,4,2,2,5,4,2,2,5,2,2,4,3,4,4,3,4,4,4,4,2,4,4,3,4
2858,2,5,2,5,1,2,4,1,4,5,1,4,3,3,3,5,5,5,3,2,2,4,1,1,2,5,3
2859,1,3,4,3,2,3,4,4,1,2,4,4,3,3,3,4,4,3,4,3,2,2,4,2,4,4,4
2860,1,5,3,4,3,1,5,4,2,3,5,3,2,4,3,4,3,1,5,2,3,4,4,4,3,4,2
2861,3,3,3,4,3,2,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
2862,2,2,2,4,2,2,2,5,1,2,4,2,2,3,2,3,3,4,4,4,4,2,4,2,2,4,4
2863,3,2,2,4,2,2,4,3,3,3,3,2,2,3,3,4,4,3,4,3,4,4,4,4,2,3,4
2864,4,4,4,4,3,3,3,5,3,3,5,3,4,4,3,3,4,4,3,5,4,4,5,4,4,3,5
2865,2,2,2,2,2,1,2,3,2,1,2,4,2,2,3,4,4,3,3,4,3,4,2,4,2,4,2
2866,3,4,2,2,2,4,2,4,4,4,3,2,2,2,3,4,4,2,3,5,4,4,4,4,4,3,4
2867,2,3,5,4,1,2,5,4,1,2,5,4,2,3,5,5,5,3,4,3,4,4,4,2,4,3,5
2868,3,3,4,4,3,1,4,2,3,2,3,2,1,2,2,5,3,3,2,2,4,4,2,2,3,2,4
2869,2,4,4,5,4,2,4,4,2,2,4,3,3,4,3,5,3,3,2,3,4,4,4,4,4,4,5
2870,2,1,4,2,4,2,3,2,2,1,4,3,4,2,4,2,4,4,4,4,3,4,2,2,4,3,4
2871,1,2,4,3,3,1,5,4,1,1,4,4,3,3,4,5,4,3,4,4,2,3,3,4,2,4,5
2872,3,3,5,4,3,1,4,3,2,1,5,1,4,1,4,4,5,4,4,4,5,3,3,3,4,2,4
2873,3,3,4,5,3,2,4,4,3,3,4,3,3,3,4,5,5,3,5,3,3,4,3,4,4,3,5
2874,1,2,5,5,4,2,4,4,2,2,5,3,2,3,3,4,4,4,3,2,4,4,4,4,4,4,5
2875,3,3,5,5,2,3,4,4,3,2,4,3,2,3,4,4,4,4,4,4,4,3,3,3,5,4,4
2876,2,2,5,4,2,1,5,4,2,2,5,2,2,2,5,5,4,4,5,4,3,4,4,4,4,4,5
2877,4,3,4,4,3,3,4,4,4,3,4,2,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4
2878,3,3,2,3,1,3,3,5,1,3,5,5,1,4,4,5,3,5,4,5,5,5,4,3,3,5,3
2879,2,4,4,3,1,2,4,4,1,2,3,5,2,2,4,5,1,3,5,4,4,5,5,4,4,4,5
2880,2,4,1,5,1,2,2,4,1,2,4,5,2,4,5,4,4,2,4,3,4,4,4,1,1,3,5
2881,3,4,3,4,3,1,3,3,3,1,4,3,4,3,3,3,3,4,3,4,4,4,3,3,4,3,4
2882,4,4,4,5,2,1,4,4,4,2,5,2,4,2,5,5,5,5,5,4,5,5,4,4,5,5,5
2883,4,1,3,3,3,4,4,3,3,1,5,3,2,5,3,3,5,3,3,3,3,3,2,4,3,4,5
2884,2,4,3,3,3,3,3,3,4,4,4,2,3,3,3,3,4,4,3,4,3,5,3,5,3,3,3
2885,2,2,2,1,2,1,2,1,3,1,3,2,2,2,2,2,2,2,3,1,1,1,2,3,1,1,2
2886,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2887,1,3,3,4,2,3,3,4,1,2,5,4,2,3,4,5,2,4,3,4,4,3,4,2,3,4,4
2888,3,3,3,3,3,1,4,4,2,3,4,2,3,3,4,4,5,2,4,4,2,4,4,4,3,1,4
2889,4,3,3,4,4,4,4,3,4,4,3,4,4,4,3,4,3,3,3,4,3,4,4,3,4,4,4
2890,3,2,4,4,1,3,4,3,2,4,4,3,2,3,2,3,4,2,2,4,4,5,2,5,2,4,4
2891,3,1,3,4,3,3,2,5,2,1,2,2,4,2,4,4,4,1,3,4,2,3,1,3,3,4,2
2892,1,4,4,5,1,2,3,5,1,3,5,2,2,4,3,5,2,2,4,3,3,4,5,4,3,4,4
2893,3,3,5,4,3,3,5,3,2,2,5,4,3,4,3,5,4,3,3,3,4,3,4,3,3,4,4
2894,3,3,4,4,3,3,4,2,3,3,4,4,3,2,4,5,4,4,4,4,4,3,3,3,4,4,3
2895,3,2,2,3,3,2,3,3,3,3,3,2,3,2,3,4,3,2,3,2,3,5,5,4,2,3,3
2896,4,5,2,5,4,2,4,4,2,2,2,5,5,4,5,5,5,4,2,4,5,4,4,5,5,2,5
2897,2,3,4,5,2,2,5,4,2,4,4,1,4,2,2,4,4,3,5,4,5,4,4,4,4,4,5
2898,1,2,3,2,1,1,4,3,3,1,4,3,1,4,3,4,4,2,4,2,2,4,5,5,2,3,3
2899,4,4,4,4,2,4,5,4,4,4,4,4,4,4,3,4,4,5,3,5,3,4,4,4,4,3,4
2900,2,3,4,4,2,1,3,3,2,2,3,3,3,2,3,3,3,2,2,3,3,5,3,4,3,2,5
2901,3,3,4,5,2,4,5,5,3,2,5,3,5,2,5,5,5,2,5,1,4,4,5,5,2,2,5
2902,3,3,4,3,3,3,5,4,3,4,4,3,4,4,4,4,4,4,5,4,3,3,4,4,4,3,4
2903,1,1,4,5,1,1,3,2,1,1,3,5,1,1,2,3,5,3,4,3,4,1,2,2,3,3,3
2904,4,4,4,4,4,4,4,3,3,4,5,4,2,3,4,5,3,3,3,5,3,4,3,4,5,3,5
2905,3,4,4,4,4,3,5,3,4,3,4,3,3,3,4,4,4,3,4,4,4,4,3,3,4,3,4
2906,4,3,4,4,5,2,3,3,4,3,3,3,4,2,3,5,3,3,3,4,3,4,3,4,4,3,3
2907,1,3,3,4,1,2,5,1,1,3,5,5,1,2,3,5,4,5,3,2,5,3,5,3,4,2,4
2908,1,3,4,5,1,2,5,5,1,1,5,5,1,2,5,4,3,5,5,4,4,4,4,4,2,2,5
2909,2,3,2,4,2,1,2,4,2,2,3,4,1,4,2,5,3,3,3,2,4,2,4,4,1,4,3
2910,4,5,2,2,5,1,5,3,4,4,3,1,4,4,3,4,1,1,5,2,3,3,5,5,3,3,2
2911,3,3,4,3,2,3,3,4,2,3,4,3,3,3,4,5,2,4,3,4,4,2,4,3,4,4,4
2912,4,3,5,3,4,1,4,3,4,3,4,3,4,4,4,4,4,2,3,4,3,3,4,3,3,2,4
2913,2,4,5,5,2,4,2,3,2,2,4,2,5,2,5,5,5,3,4,5,4,4,3,4,5,2,5
2914,1,1,1,1,3,1,5,3,1,1,3,3,1,1,1,5,3,1,1,1,1,3,3,1,3,1,5
2915,2,3,3,4,2,2,4,4,2,2,4,2,3,3,3,5,3,2,3,3,4,4,3,3,2,2,5
2916,3,3,3,4,3,3,3,4,2,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,4,4
2917,3,3,3,5,2,1,5,5,2,3,5,4,1,4,4,5,3,3,3,3,3,3,5,3,3,4,4
2918,3,4,5,2,3,4,4,4,3,2,4,3,2,4,4,4,4,3,5,4,2,4,4,2,5,3,5
2919,4,4,3,3,4,3,4,3,2,3,2,3,3,2,3,4,2,3,3,3,3,2,2,3,4,3,2
2920,4,4,3,3,4,4,3,3,3,4,3,3,3,2,4,5,3,4,3,4,3,3,3,3,4,3,3
2921,3,4,3,3,3,2,4,4,3,2,4,3,2,4,5,5,3,4,4,3,4,3,4,4,4,3,4
2922,5,1,1,1,1,1,5,1,5,1,1,1,3,1,3,5,5,1,5,5,1,1,1,1,1,1,1
2923,2,2,4,5,1,2,5,4,2,1,5,4,2,2,4,5,4,4,4,3,4,5,5,3,4,4,3
2924,3,3,2,4,1,3,2,3,2,2,1,5,1,3,4,4,2,4,2,2,5,2,5,2,2,5,5
2925,3,4,4,4,3,3,3,4,2,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,5,4,4
2926,5,1,5,4,1,1,5,5,5,1,5,2,5,2,5,4,5,1,5,2,1,5,5,1,5,1,5
2927,3,2,4,4,2,3,3,4,3,2,4,4,3,4,4,4,3,2,2,3,4,3,4,3,3,4,4
2928,5,5,5,5,3,5,2,5,3,1,5,5,4,3,4,5,5,5,3,5,5,4,5,5,3,5,3
2929,2,3,3,3,2,2,3,5,3,2,3,4,3,2,4,5,3,2,1,3,3,4,5,2,3,3,4
2930,1,3,3,4,3,3,5,4,1,1,5,3,4,4,3,3,2,3,5,4,3,3,4,4,3,3,5
2931,4,4,4,4,2,4,5,5,4,4,4,5,1,4,4,4,5,4,4,5,4,5,4,5,5,4,4
2932,2,4,4,3,2,2,4,3,3,3,4,3,2,4,2,4,4,3,4,4,5,2,3,3,3,4,2
2933,2,3,3,3,2,3,5,4,3,3,4,3,2,2,3,4,4,3,3,3,3,4,3,3,3,2,4
2934,2,2,3,4,2,2,3,3,2,2,5,4,2,1,5,5,2,1,4,3,2,2,3,2,3,4,5
2935,3,3,4,4,1,2,4,4,2,4,5,4,2,3,4,5,3,3,4,2,2,4,4,4,4,4,4
2936,2,3,3,4,2,2,4,3,2,3,4,4,2,3,4,4,5,2,3,3,3,2,3,2,2,3,4
2937,2,4,3,2,4,2,5,5,2,3,4,2,4,1,3,5,5,2,4,3,2,3,3,5,2,1,5
2938,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,5,4,4,3,4,3,3,4
2939,1,4,2,4,2,2,2,3,1,1,2,4,4,5,4,3,3,1,2,3,4,3,3,4,2,4,4
2940,3,3,5,5,4,1,5,4,4,1,4,2,2,3,3,4,3,4,5,5,4,4,5,3,5,3,4
2941,3,3,2,4,2,3,4,4,2,2,4,2,2,2,4,5,3,2,3,4,3,4,2,4,3,1,4
2942,1,3,3,5,1,3,3,5,2,2,4,5,1,4,3,5,3,2,2,5,5,3,5,1,5,5,3
2943,2,3,4,4,2,3,4,3,4,2,3,4,3,3,3,5,4,4,3,3,4,3,4,4,4,4,3
2944,3,3,2,3,3,3,3,2,3,4,3,4,2,2,3,4,4,3,4,3,3,3,4,4,3,3,3
2945,2,2,5,3,2,1,5,4,1,2,4,4,3,4,4,5,4,2,4,4,4,4,4,3,4,4,4
2946,2,2,3,4,3,3,4,4,2,2,4,4,4,3,4,3,4,3,4,3,4,2,4,2,3,2,4
2947,4,4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,4,4,5,4,4,3,3,3,4,5,5
2948,2,4,3,4,4,1,5,3,1,3,4,2,3,4,4,4,4,4,4,4,5,4,4,4,5,2,5
2949,4,3,4,5,3,4,5,4,3,2,5,3,3,3,3,4,5,5,4,3,5,3,4,3,4,3,3
2950,4,3,3,3,3,2,5,4,4,2,4,1,4,4,4,3,3,3,4,5,4,5,3,4,4,4,4
2951,1,3,3,4,3,3,4,3,1,1,5,4,2,3,3,5,3,3,4,3,4,4,3,4,4,5,4
2952,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3
2953,1,3,4,4,1,3,4,2,1,2,2,2,2,2,4,5,3,1,2,3,4,4,2,2,4,4,2
2954,2,3,3,4,3,2,2,3,4,3,3,2,2,3,3,5,3,3,3,3,2,4,3,4,2,3,3
2955,3,3,3,4,3,2,4,2,3,3,5,4,2,2,3,5,4,4,3,4,4,3,4,4,3,5,5
2956,4,3,5,2,4,3,5,4,3,5,5,4,4,5,4,3,3,3,4,5,2,3,5,5,5,5,5
2957,2,2,3,5,2,2,4,4,1,2,4,4,3,4,4,4,2,3,2,2,5,4,3,4,3,3,3
2958,2,1,3,3,1,1,4,1,1,1,3,3,4,3,3,5,3,1,3,3,4,3,3,1,3,2,3
2959,3,3,5,3,2,2,3,4,2,2,3,2,3,3,3,4,4,2,4,2,4,3,3,3,3,3,5
2960,2,3,4,4,2,2,5,4,2,1,4,5,2,3,4,4,3,4,4,3,3,4,3,3,4,4,5
2961,3,3,3,4,2,3,2,4,3,3,5,4,3,3,3,4,3,3,3,4,2,3,4,3,3,5,3
2962,1,4,4,5,1,1,5,5,1,2,5,4,1,3,4,5,2,5,3,3,4,3,5,3,3,3,3
2963,5,4,3,5,1,1,5,1,4,1,5,5,2,1,3,5,5,1,5,5,5,4,3,3,3,5,4
2964,5,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2
2965,3,3,4,3,3,2,3,4,3,4,2,2,2,2,4,4,3,2,2,4,4,4,2,5,4,2,2
2966,4,4,5,4,2,2,5,4,4,2,5,4,2,4,5,5,5,4,4,5,2,5,4,2,5,4,5
2967,2,4,3,5,2,1,4,4,2,2,4,2,3,4,3,3,4,2,3,3,4,3,2,4,4,3,4
2968,1,3,2,3,1,1,3,1,1,3,2,4,2,3,3,5,2,3,3,2,3,2,5,1,2,2,3
2969,2,1,2,5,2,2,3,3,1,2,2,4,3,3,3,2,3,2,2,3,3,4,3,4,3,3,3
2970,2,1,3,4,2,1,3,3,3,1,4,3,1,3,3,3,3,2,3,4,3,2,3,3,3,4,2
2971,2,4,5,4,2,2,5,4,2,3,5,4,2,4,4,5,4,2,4,4,3,3,4,3,4,4,5
2972,2,2,2,2,3,1,4,2,2,1,2,2,5,2,4,3,3,2,4,4,2,5,2,2,4,4,4
2973,3,3,3,3,3,3,3,3,3,3,3,5,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3
2974,3,3,4,4,2,3,5,3,3,2,3,4,2,3,3,4,3,3,3,3,3,2,4,2,3,3,3
2975,2,3,4,4,3,2,3,2,2,2,4,3,2,2,4,4,2,3,3,4,4,4,4,2,3,4,3
2976,3,1,1,5,1,2,3,3,2,3,2,5,1,4,1,3,4,1,2,1,5,4,4,2,1,5,3
2977,4,3,3,3,2,2,3,2,3,4,3,4,2,4,5,5,3,3,3,4,4,4,4,4,4,2,3
2978,3,4,4,4,4,4,4,3,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,5,4
2979,1,4,3,4,2,2,3,4,1,2,4,4,2,4,4,5,3,3,3,4,4,5,3,4,2,5,3
2980,1,4,5,5,1,1,4,3,2,2,4,4,3,1,3,5,3,3,4,2,4,2,3,1,3,1,5
2981,2,4,3,2,1,1,3,2,2,3,2,2,2,2,4,2,1,1,1,3,2,3,3,2,3,3,3
2982,3,3,3,5,3,3,4,5,3,1,3,3,3,1,3,3,3,3,5,3,3,3,3,3,3,3,1
2983,5,4,3,3,4,3,5,2,2,3,5,4,3,5,5,3,3,3,4,4,3,3,3,5,5,3,4
2984,1,3,5,5,1,1,5,3,1,1,5,5,5,5,4,4,5,5,5,4,4,5,4,5,3,1,5
2985,2,3,5,4,3,1,3,4,2,2,5,3,4,4,3,5,2,4,3,4,4,5,4,4,4,3,5
2986,2,3,2,4,1,2,4,3,2,1,3,4,2,3,3,4,3,3,3,4,3,3,3,3,2,3,4
2987,1,3,3,4,1,1,4,3,1,1,5,2,1,4,4,5,3,2,5,2,5,4,4,2,3,2,5
2988,2,4,4,3,4,3,3,3,3,3,4,3,3,4,3,2,4,4,3,2,3,4,4,3,4,3,3
2989,3,3,4,3,2,2,4,4,2,3,4,3,2,4,3,3,3,3,4,4,3,4,3,3,4,2,4
2990,4,4,5,5,1,3,3,3,2,5,4,3,3,4,4,5,4,2,3,4,5,4,4,5,4,3,4
2991,3,1,5,5,5,5,5,1,4,1,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,3,5
2992,4,4,3,5,2,5,5,5,2,4,4,4,3,4,2,5,5,4,4,4,4,4,5,4,5,3,2
2993,5,5,5,5,4,5,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,4,4,5,5,5
2994,2,2,2,5,1,2,5,4,1,1,5,5,2,3,3,4,4,1,4,4,3,1,4,3,1,2,5
2995,4,4,3,5,5,3,5,4,4,1,5,3,3,3,2,5,5,1,5,2,4,5,3,4,4,1,5
2996,4,4,4,5,4,2,4,5,2,4,2,2,2,3,5,5,4,1,4,4,3,4,4,5,3,5,5
2997,3,4,3,4,2,4,4,5,3,3,5,4,3,4,4,4,3,5,3,4,4,3,4,3,3,4,4
2998,2,4,2,2,3,3,5,2,2,1,4,2,3,2,4,2,2,2,4,4,2,3,2,4,4,1,4
2999,1,2,5,5,2,2,5,5,2,1,5,3,3,4,4,5,5,2,5,5,4,2,4,1,4,4,5
3000,1,3,3,4,2,2,3,5,1,1,5,3,2,4,3,4,3,3,3,3,3,4,3,5,3,4,3
