id,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2672,1,1,3,4,1,1,5,4,1,1,5,3,4,1,4,4,3,4,4,1,4,4,3,4,1,2,5
2673,2,3,4,4,2,3,4,3,3,3,4,4,4,2,3,4,3,3,3,4,3,3,3,3,3,3,2
2674,1,2,5,5,2,1,4,2,1,1,5,1,4,4,2,5,4,2,5,4,5,4,4,4,4,2,5
2675,4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3
2676,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2677,2,3,3,4,2,1,5,4,3,3,5,3,3,3,4,4,3,3,4,3,4,4,4,4,3,2,4
2678,4,4,3,4,2,2,3,4,2,3,4,4,2,4,3,3,2,4,3,4,4,4,4,4,4,3,3
2679,3,3,3,4,3,2,4,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,5,4,3,3,4
2680,4,5,5,5,2,5,5,4,4,3,4,5,5,5,4,5,4,3,5,4,5,3,3,4,5,3,5
2681,5,3,4,5,2,5,5,4,4,2,5,5,2,4,3,5,5,3,4,4,4,4,4,3,3,3,5
2682,5,3,3,3,5,3,3,3,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3
2683,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,4,4,4,2,4,4,2,2,2,2,4,4
2684,3,3,3,3,3,2,3,4,2,2,3,3,3,3,4,4,3,2,3,4,3,3,3,3,3,2,3
2685,2,2,3,3,3,1,3,3,2,3,3,3,1,3,3,5,2,2,3,3,3,3,3,3,3,4,3
2686,2,2,4,4,2,1,4,2,2,2,4,4,2,2,4,4,4,2,4,4,4,2,3,2,4,3,4
2687,2,2,2,4,2,2,4,2,2,2,3,4,2,2,3,4,2,3,2,2,4,2,2,4,4,4,2
2688,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,5,4,3,3,3,3,4,4,4,3,3,4
2689,4,4,4,4,3,3,3,4,4,3,4,3,4,4,4,5,4,4,4,4,2,4,4,3,4,4,5
2690,2,3,4,4,1,3,4,5,4,3,4,4,3,3,3,5,4,3,4,4,3,4,4,3,3,5,4
2691,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5
2692,3,2,3,3,3,3,5,3,3,1,4,3,2,3,3,4,2,3,4,3,3,2,3,3,3,3,4
2693,3,3,3,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4
2694,3,4,2,4,2,3,4,3,4,3,4,4,3,3,3,5,3,2,3,3,4,2,2,3,2,4,4
2695,2,3,2,4,3,2,3,3,2,2,3,3,2,3,4,3,3,3,3,2,4,3,3,4,2,3,4
2696,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,3,5,5,5,4,5,5
