"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.302647476772894" "0.232764592734023" "-0.023775044358029" "0.862366209322112" "0.767690989643258" "0.877916110281008" "0.759431958513751" "0.795256977631094" "0.227536131314969" "0.19360967752175" "0.322013317983981" "0.00843020584563138" "0.258652887541748" "0.173846283066162" "0.141376669756405" "0.237994270107449" "-0.0465461239464078" "0.196263077574784" "0.133322309949294" "0.22408804121" "0.214291879100689" "0.271836102551519" "-0.135284864853035" "-0.0344041579679482" "-0.0727173200374441" "-0.00497681643240901" "0.0213518461129701" "-0.092909884756772" "0.0293299938591954" "0.0208334060695857" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.302647476772894" "1" "0.156023724583793" "-0.0619536172412625" "0.276397746704546" "0.224007018076049" "0.232104135540676" "0.311617145827225" "0.187040600314593" "0.647654296205501" "0.582940021650693" "0.676814674335641" "0.636815828391393" "0.639772480506128" "0.644198923874663" "0.602488262744333" "0.271129280363941" "-0.0672650650894093" "0.132821163445576" "-0.0751443968462476" "0.127526266215089" "0.228386341160329" "0.197545557703184" "-0.110234924590788" "-0.0531478300169345" "-0.0501912623095036" "-0.0357184258468093" "-0.0369338517263271" "-0.107840469175173" "-0.0332247681986683" "-0.00212144830670617" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.232764592734023" "0.156023724583793" "1" "0.0252619980090329" "0.144272703946684" "0.176509611378054" "0.164123995583706" "0.28660773383294" "0.176611937034448" "0.161681365857883" "0.078436829455113" "0.130517085162788" "0.103118635321609" "0.140908158469889" "0.00456627419576137" "0.0731669780498307" "0.560981431216147" "0.568056660031205" "0.747774079325747" "0.548615982408565" "0.723732054279861" "0.566981478629016" "0.644145839617478" "0.505988969364176" "0.0268498155175736" "-0.00102872632887924" "0.02756917049821" "-0.0119204312010554" "0.0553244155912243" "-0.0353380084509837" "0.0670194118073006" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.023775044358029" "-0.0619536172412625" "0.0252619980090329" "1" "0.0263255622692494" "-0.119014279658459" "0.0536545335865456" "-0.0769625482735441" "0.0105537317041779" "-0.0752253042894825" "0.0382592318986904" "-0.119354164222999" "-0.0337075044048192" "0.0628043540545851" "-0.0154419090197136" "-0.144045249210695" "-0.13746959548682" "0.192357065468342" "0.0249253663455978" "0.184994875249969" "0.140712520522646" "-0.2669950767033" "-0.0814603832881772" "0.115740099601912" "0.774366511417537" "0.683401107837557" "0.755786842182038" "0.777115502263552" "0.709326786757059" "0.76559597711078" "0.687982655772991" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.862366209322112" "0.276397746704546" "0.144272703946684" "0.0263255622692494" "1" "0.569283370750572" "0.779722362732106" "0.534668069762666" "0.6093456904373" "0.204851056163543" "0.200062917309184" "0.258732793326212" "-0.000663442581576662" "0.235042048601554" "0.168806100278542" "0.141818261359129" "0.183172546419105" "-0.0548050988234257" "0.148672117767594" "0.0932005189556293" "0.176525789589971" "0.115946600055598" "0.169420684317605" "-0.160826769627718" "-0.0120207666403282" "-0.0201925506362679" "0.0239456296575774" "0.0564908684810282" "-0.0625369869620706" "0.061742551532664" "0.0818162575837445" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.767690989643258" "0.224007018076049" "0.176509611378054" "-0.119014279658459" "0.569283370750572" "1" "0.576168498911403" "0.541595313342608" "0.463972109738558" "0.141381775856863" "0.183239188260711" "0.253577450395936" "-0.0152196970464791" "0.179058570287858" "0.131574527742544" "0.100531056905349" "0.115485217518122" "-0.075701740838538" "0.131644545698074" "0.0930474537730897" "0.165928936643988" "0.178015108453316" "0.267893268596829" "-0.0406975867669359" "-0.0896487565623478" "-0.137910336807111" "-0.10046702577718" "-0.0559896268228866" "-0.15676589705992" "0.00381142024378656" "-0.088660789136094" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.877916110281008" "0.232104135540676" "0.164123995583706" "0.0536545335865456" "0.779722362732106" "0.576168498911403" "1" "0.54243540792706" "0.661932716228582" "0.158369228259132" "0.150127875250923" "0.262224427547298" "-0.0129028540896519" "0.219541661042211" "0.143665729380855" "0.0923496934970101" "0.169850640949221" "-0.013913887418833" "0.148928312522792" "0.130431960599983" "0.177735836136931" "0.124960221919262" "0.189505355774943" "-0.154513148456853" "0.036134169283778" "-0.0018007357074871" "0.0579391922721696" "0.078919297191248" "-0.0267942985803055" "0.0538362782922361" "0.0714743379059624" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.759431958513751" "0.311617145827225" "0.28660773383294" "-0.0769625482735441" "0.534668069762666" "0.541595313342608" "0.54243540792706" "1" "0.474990651374733" "0.217399653471128" "0.179780717905544" "0.348010054161837" "0.0819503723771676" "0.231438108304867" "0.170204593295189" "0.141396256531223" "0.291096740294167" "-0.00501533208228849" "0.216180140425351" "0.13868055359538" "0.253826703536657" "0.253392846177206" "0.278538355946607" "-0.0683159334738869" "-0.0443196247736724" "-0.0987728166694225" "-0.0605175777316945" "-0.0350495231250488" "-0.0822184179355648" "-0.0491944151433282" "-0.0351989647974718" "1" "0" "0" "0" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.795256977631094" "0.187040600314593" "0.176611937034448" "0.0105537317041779" "0.6093456904373" "0.463972109738558" "0.661932716228582" "0.474990651374733" "1" "0.199880856086405" "0.077528612290698" "0.189667260503788" "-0.0185589477027981" "0.185230654537294" "0.0932865902221356" "0.0980612894498773" "0.204132494241995" "-0.0413583691262827" "0.151973273486216" "0.0872012755852416" "0.138466498798506" "0.200568299090233" "0.205252194609062" "-0.119587829346055" "-0.034171096742303" "-0.0436988770186485" "0.0499349472430745" "0.0359044252604536" "-0.055556074378049" "0.0455525872832798" "0.0457715896968097" "1" "0" "0" "0" "1" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.227536131314969" "0.647654296205501" "0.161681365857883" "-0.0752253042894825" "0.204851056163543" "0.141381775856863" "0.158369228259132" "0.217399653471128" "0.199880856086405" "1" "0.224901648949214" "0.47371882363519" "0.293064820334589" "0.338796801871503" "0.318838256051735" "0.259255838815871" "0.232773494571685" "0.0252675197853723" "0.106305524916093" "-0.0151518600599575" "0.0889664587629794" "0.201864340735147" "0.153184335093877" "-0.040863330074954" "-0.0404319032827734" "-0.0042031412712351" "-0.0937584792451079" "-0.0114328677426527" "-0.111977899849676" "-0.0140850314059544" "-0.102893664869085" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
