"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.372345011892632" "0.276086362262137" "-0.0556699603804162" "0.82357537739453" "0.689046923085095" "0.836399940705019" "0.619619420950605" "0.6512865643824" "0.341603656794011" "-0.0204435797718986" "0.375837175256346" "0.142468187337992" "0.177866170675017" "0.183555540372471" "0.257685501895743" "0.113959560471835" "0.0231963970926681" "0.157482181476804" "0.17711802580745" "0.203874287989172" "0.241302131075011" "0.433293383211494" "0.0100765471836669" "-0.0560553971736349" "0.0109216193002145" "-0.0689821171102847" "0.0234548596510649" "-0.0335553856381926" "-0.075820345969408" "-0.041864684261306" "1" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.372345011892632" "1" "0.2109238642929" "0.19147941865394" "0.311595683419518" "0.248088899060924" "0.337139284234405" "0.235607223150762" "0.214009361782702" "0.573808479836202" "0.456884762323457" "0.603581620912879" "0.520162973899335" "0.480456602837457" "0.59469963582259" "0.628328185153872" "0.154321050206461" "-0.00115064703081261" "0.100248778858687" "0.092801562133822" "0.183332336242631" "0.225569350178566" "0.268322073736349" "0.0125642167796497" "0.0874432403581023" "0.173395839579387" "0.0682731877450814" "0.150043244301855" "0.119543079059649" "0.107330108302076" "0.0602939985502844" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "1" "1" "0" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.276086362262137" "0.2109238642929" "1" "0.172422740917006" "0.151728678689824" "0.172192637720773" "0.16503781890689" "0.280628148391181" "0.236406461571884" "0.170375134898237" "-0.0566331428461337" "0.120260703005798" "0.136049182718368" "0.163740602847173" "0.140000791576737" "0.162597255743237" "0.500732871773551" "0.607923118444647" "0.696375539077983" "0.597525614754876" "0.711282128612319" "0.421661309080338" "0.441012557708714" "0.626438733405904" "0.0188981847298228" "0.159829533941705" "0.0417710570795557" "0.181876003073476" "0.144246443126872" "0.110144914831105" "0.0296818505243905" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "-0.0556699603804162" "0.19147941865394" "0.172422740917006" "1" "-0.0380608358070755" "-0.125876708735791" "-0.00697363980726052" "-0.0511460364077248" "0.00493067202969727" "0.0513089856658484" "0.140391351440281" "0.0297987779538861" "0.120873986699198" "0.155972909689395" "0.139632522957104" "0.0933266794511046" "0.0184702127825539" "0.0937499236222002" "0.131474220724381" "0.184096169524343" "0.12376416467004" "-0.0107313039233109" "0.0512437513453483" "0.181069216808386" "0.560485042337218" "0.624861992359243" "0.617851904080516" "0.593818449743737" "0.635899836732557" "0.479558579997827" "0.470640678071241" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "0" "0"
"FD1" "0.82357537739453" "0.311595683419518" "0.151728678689824" "-0.0380608358070755" "1" "0.459706633291996" "0.748779935424259" "0.318780031098336" "0.404399852519246" "0.322107150530271" "-0.0181079230561466" "0.312738143175215" "0.100883735074044" "0.135069638003448" "0.156199076542902" "0.20855676297498" "0.056800130074806" "-0.0180440260451374" "0.0740773358391779" "0.108900286688107" "0.0960309033798106" "0.174497143873509" "0.313445166604899" "-0.0351885964406846" "-0.035917170784895" "0.00693371234740915" "-0.0324884091248392" "0.00754441261518806" "-0.0316855105504395" "-0.0570639660534227" "-0.0240526582697029" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.689046923085095" "0.248088899060924" "0.172192637720773" "-0.125876708735791" "0.459706633291996" "1" "0.495707063150572" "0.372821482579543" "0.25941775030165" "0.247885944164243" "0.0127301302171738" "0.275556113005579" "0.0595650908602259" "0.0845679436603482" "0.0950510390068798" "0.18963842297972" "0.121372292259717" "0.0228121699015112" "0.076620684329964" "0.059904869093007" "0.120627303731127" "0.125895937615466" "0.343793887601295" "-0.015654862391859" "-0.0432244890785977" "-0.0400564406559844" "-0.137712788867297" "-0.00146954717579255" "-0.0675331085236741" "-0.136204515487065" "-0.104026392283421" "1" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.836399940705019" "0.337139284234405" "0.16503781890689" "-0.00697363980726052" "0.748779935424259" "0.495707063150572" "1" "0.337499394849888" "0.422684453790587" "0.29963499695724" "0.00110140237605039" "0.353754840279217" "0.106733762188069" "0.167917637825519" "0.159829082043947" "0.2271040066632" "0.0514240052172004" "-0.019125101239002" "0.0852568469539461" "0.116480985448684" "0.113017848585281" "0.175354909584519" "0.352358730332357" "-0.036683724636278" "-0.0280287648848176" "0.0456887155284825" "-0.0242307973716675" "0.0342564758649402" "-0.0132669063960976" "-0.0451824716643244" "-0.0135788724278619" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.619619420950605" "0.235607223150762" "0.280628148391181" "-0.0511460364077248" "0.318780031098336" "0.372821482579543" "0.337499394849888" "1" "0.242315827345592" "0.176633041486448" "0.00346675395726322" "0.208563485237875" "0.139382580056091" "0.112396678917917" "0.116782441644524" "0.168849298731635" "0.118487942161433" "0.0876488573772011" "0.198694587786592" "0.168084863249306" "0.228893530222085" "0.150288963400838" "0.310927096950877" "0.0749516867077707" "-0.0362559305110067" "0.00507534988577327" "-0.0939917745066332" "0.0447527081514993" "-0.024051200327614" "-0.0436979913055998" "-0.0661516929934521" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.6512865643824" "0.214009361782702" "0.236406461571884" "0.00493067202969727" "0.404399852519246" "0.25941775030165" "0.422684453790587" "0.242315827345592" "1" "0.188029078267273" "-0.0678531465243349" "0.211742094043238" "0.105874704557794" "0.138646732534499" "0.13112140790748" "0.141395187903108" "0.0759998933599931" "0.0172536370825442" "0.137969128894569" "0.182274861620622" "0.185216194087773" "0.242398637839909" "0.260431048450696" "0.0509645650919258" "-0.0609677879289764" "0.0142829686805766" "0.0200034972644276" "-0.000943300656734673" "0.00792554440223169" "-0.00650961726118363" "0.0414684191063412" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.341603656794011" "0.573808479836202" "0.170375134898237" "0.0513089856658484" "0.322107150530271" "0.247885944164243" "0.29963499695724" "0.176633041486448" "0.188029078267273" "1" "0.072101153490267" "0.384948791759924" "0.127981628482122" "0.132462797052337" "0.222631274364259" "0.250679797640528" "0.149893641951377" "0.013569826443781" "0.0644737599382982" "0.0730462620470133" "0.117177339410997" "0.199375322543104" "0.21088941398847" "0.00804917447841432" "0.000753604180826176" "0.0740499062500552" "-0.0324921106755211" "0.103551844861436" "0.0251952463479118" "0.0197819992399491" "0.0101764141704191" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
