"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"FD" "1" "0.528137630428209" "0.360266751879278" "0.0610600801206092" "0.784402271434171" "0.725608892257297" "0.801381918545202" "0.671025045918201" "0.547318295650936" "0.3378044063072" "0.311347575705135" "0.467365289114203" "0.210071028446701" "0.28166278803373" "0.250458122756647" "0.290149982248975" "0.254236498656623" "0.12878969033175" "0.152818678546904" "0.174649510760246" "0.246870073995245" "0.425571016815433" "0.302848240575717" "0.139057979741155" "-0.0859266642697791" "0.0956680793652797" "-0.0289432742922204" "0.0408477522884708" "0.0265757105822442" "0.110477579626633" "0.0839603589106132" "1" "1" "0" "0" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD" "0.528137630428209" "1" "0.278056725034731" "0.242480734979348" "0.44798910451265" "0.352307616780263" "0.459059232975394" "0.325345908270033" "0.274654795407264" "0.631479129561818" "0.542043789726568" "0.668214325924793" "0.571388040554298" "0.51986184140232" "0.549937954682831" "0.604448138480261" "0.272719737657018" "0.0734465443627038" "0.0969156028688562" "0.159484510499094" "0.126288662972548" "0.339743592079925" "0.281595543106207" "0.0593760663182365" "0.0503251295687168" "0.16588397693851" "0.130611349974552" "0.0884055007765335" "0.15054218362434" "0.16704975677545" "0.217120960084914" "1" "1" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP" "0.360266751879278" "0.278056725034731" "1" "0.261901252667186" "0.231733002604287" "0.217334212339125" "0.191962126340021" "0.292643876535307" "0.356668895095113" "0.229120575582746" "0.0399469951835103" "0.143593591151925" "0.0870907926301065" "0.219725890635299" "0.225535465871723" "0.197331953638185" "0.612054963223787" "0.67765023000664" "0.697020261734119" "0.541272229080806" "0.669203092806109" "0.546009681974994" "0.633868626945932" "0.677315119437087" "0.173247336905542" "0.185167240743084" "0.000707336314888252" "0.213902736125493" "0.217824215797697" "0.190763315913863" "0.0989077634826054" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1" "1" "0" "0" "0" "0" "0" "0" "0"
"FW" "0.0610600801206092" "0.242480734979348" "0.261901252667186" "1" "0.0908916632132536" "-0.0776710606261861" "0.0352962213364667" "-0.0298851035475733" "0.206294073798108" "0.154206182270749" "0.0833623795147938" "0.0482313776772758" "0.194308654872366" "0.19942528532178" "0.210251702963808" "0.114694153105392" "0.161378191006509" "0.207178101942597" "0.220556297431545" "0.176182568489292" "0.14283591800878" "0.109061780417674" "0.103481330611114" "0.204452889568592" "0.616532205021071" "0.577015432318315" "0.511244990594479" "0.595163863354599" "0.5969994522982" "0.577673431449189" "0.569325239363379" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "1" "1" "1" "1" "1" "1"
"FD1" "0.784402271434171" "0.44798910451265" "0.231733002604287" "0.0908916632132536" "1" "0.426460791738791" "0.64778311718845" "0.353724579000482" "0.318120256905993" "0.262482246948852" "0.303873244975351" "0.398362836897449" "0.19056190870365" "0.239577184980997" "0.194907648440258" "0.23102947154823" "0.18286287038986" "0.0561376231581919" "0.0781311842936065" "0.102384491661164" "0.149817435050671" "0.33024336989984" "0.221585821519696" "0.0530596911366841" "-0.0565444021712089" "0.0623433053057711" "0.0720666630970674" "0.0174903724271227" "0.055480205010358" "0.0912916854006884" "0.112853169961738" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD5" "0.725608892257297" "0.352307616780263" "0.217334212339125" "-0.0776710606261861" "0.426460791738791" "1" "0.481294258170625" "0.462181433684884" "0.191008801555407" "0.250626153387777" "0.215502587594279" "0.3580861699468" "0.0985401421934038" "0.150116386221171" "0.137875914824777" "0.217500089623745" "0.139519616992617" "0.0770698706149312" "0.0612236010654799" "0.0788332151323324" "0.159899346316343" "0.279143145990712" "0.223946629131809" "0.0798175275257866" "-0.151764068677498" "0.0331535475223646" "-0.156092789189888" "-0.00558560617088987" "-0.0653112846521584" "0.0378201326449963" "-0.00338416923341101" "1" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD9" "0.801381918545202" "0.459059232975394" "0.191962126340021" "0.0352962213364667" "0.64778311718845" "0.481294258170625" "1" "0.373985310629599" "0.288946680795236" "0.272585163646504" "0.312525721512749" "0.43280982385889" "0.182374696575175" "0.234253113724312" "0.190874168141153" "0.238492013291131" "0.154589795241643" "0.0210668867004252" "0.0622225551028659" "0.0844986476240343" "0.143988653979226" "0.299017345102827" "0.182693113775782" "0.0255382415201084" "-0.0962723909912886" "0.0438198624453478" "0.0365575403183405" "-0.00497267998343458" "0.00206531282036652" "0.044518997921719" "0.10241270542817" "1" "0" "0" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD13" "0.671025045918201" "0.325345908270033" "0.292643876535307" "-0.0298851035475733" "0.353724579000482" "0.462181433684884" "0.373985310629599" "1" "0.189443925938714" "0.215947641862374" "0.17458449138536" "0.28378847019123" "0.103953709160273" "0.183733311493023" "0.160628502794391" "0.200183338168399" "0.195722215113006" "0.121755968499724" "0.112222777473712" "0.125771960097391" "0.2280376781961" "0.312519139954971" "0.243156010778442" "0.140877468895783" "-0.105780355022248" "0.0540403996126688" "-0.138914226737298" "0.00635303854469917" "-0.0147746363426407" "0.0822818028224558" "0.00313479461400049" "1" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"FD17" "0.547318295650936" "0.274654795407264" "0.356668895095113" "0.206294073798108" "0.318120256905993" "0.191008801555407" "0.288946680795236" "0.189443925938714" "1" "0.190966281001644" "0.080195605142922" "0.165691875411292" "0.167029623542938" "0.187191800512567" "0.204532113048151" "0.135001846418606" "0.234735273178453" "0.193714063130484" "0.240941018744" "0.238864939491756" "0.199338639239221" "0.287874807832649" "0.205123685411158" "0.207954133895373" "0.11827953489008" "0.15313409951915" "0.0816482743241545" "0.14113208921788" "0.1228140993793" "0.142020239185716" "0.0787746782649144" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD2" "0.3378044063072" "0.631479129561818" "0.229120575582746" "0.154206182270749" "0.262482246948852" "0.250626153387777" "0.272585163646504" "0.215947641862374" "0.190966281001644" "1" "0.207130512014435" "0.405443353906452" "0.257438942963166" "0.219545046714039" "0.277415445945152" "0.245977824060117" "0.199790427968976" "0.0963089512483562" "0.10412472695768" "0.114326997409594" "0.121427106184051" "0.236751378664809" "0.207079294270569" "0.0794104631342255" "0.052552036603255" "0.127597344467739" "0.0197663555843172" "0.0887079642545571" "0.101554367615114" "0.11333344654242" "0.122485582793947" "0" "1" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
