"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27"
5.13,1,62,1,4,2,4,1,5,4,4,1,3,2,1,1,4,2,4,1,5,2,5,4,4,2,3,3,1,4
5.13,2,43,3,4,4,5,4,3,3,4,4,4,4,4,3,4,4,5,3,4,4,2,4,4,5,4,3,4,3
5.13,1,37,3,3,3,4,2,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3
5.13,2,36,2,3,2,4,4,4,3,5,4,3,1,5,4,4,3,5,4,4,4,2,4,2,4,3,2,4,3
5.13,2,46,4,3,4,3,3,3,2,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2
5.13,2,55,1,4,4,4,2,1,4,4,2,2,3,4,2,2,4,4,2,2,3,4,4,2,3,2,2,4,4
5.13,1,32,1,3,3,3,2,3,3,4,1,2,3,3,2,3,3,4,1,3,3,3,3,2,3,3,3,4,3
5.13,2,47,2,4,3,2,2,4,2,4,3,4,4,2,2,4,4,3,4,4,2,4,2,2,3,2,3,2,2
5.2,1,25,3,3,2,4,3,4,3,2,2,2,4,3,4,3,4,3,2,4,4,3,3,4,3,3,4,5,4
5.2,2,22,4,4,2,2,2,3,4,4,4,4,3,3,5,5,4,3,3,3,5,4,4,4,2,2,3,4,3
