"BFIA" "BFIC" "BFIN" "BFIO" "BFIE" "FD" "SD" "UP" "FW"
"BFIA" 1 0.373000021432408 -0.332583910613008 0.190312851366315 0.367928981107961 -0.0777125997488167 0.0112481927231838 0.0258501482966042 0.185591755331241
"BFIC" 0.373000021432408 1 -0.518606797839932 0.3136466852285 0.410870856188375 -0.1202164779574 0.0474357235207959 -0.142651022722606 0.14594141973223
"BFIN" -0.332583910613008 -0.518606797839932 1 -0.131190139624328 -0.225361717032776 0.156927442980592 0.0458175150550768 0.149924828472516 -0.0415335027594684
"BFIO" 0.190312851366315 0.3136466852285 -0.131190139624328 1 0.521654999382686 0.0276234765205729 0.10488830307653 -0.0244725812704072 0.0997492412120769
"BFIE" 0.367928981107961 0.410870856188375 -0.225361717032776 0.521654999382686 1 -0.0297481077343716 0.0468333606125167 0.0240974822546265 0.239405479041849
"FD" -0.0777125997488167 -0.1202164779574 0.156927442980592 0.0276234765205729 -0.0297481077343716 1 0.380787266864137 0.343311168143811 -0.042030979408788
"SD" 0.0112481927231838 0.0474357235207959 0.0458175150550768 0.10488830307653 0.0468333606125167 0.380787266864137 1 0.21492354122164 0.204385935091099
"UP" 0.0258501482966042 -0.142651022722606 0.149924828472516 -0.0244725812704072 0.0240974822546265 0.343311168143811 0.21492354122164 1 0.238169707552217
"FW" 0.185591755331241 0.14594141973223 -0.0415335027594684 0.0997492412120769 0.239405479041849 -0.042030979408788 0.204385935091099 0.238169707552217 1
