"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26","FD","SD","UP","FW"
6,1,26,2,2,1,2,2,1,2,1,3,3,5,4,2,4,4,5,3,4,2,5,3,3,3,4,3,4,4,1.8,2.71428571428571,3.625,3.42857142857143
6,1,24,2,4,2,2,2,4,3,3,4,3,5,3,3,4,2,4,2,3,2,3,4,4,4,2,2,2,3,2.4,3.57142857142857,2.875,3
6,1,23,3,1,1,2,1,2,1,2,4,3,2,1,1,3,3,2,2,3,2,4,4,4,4,4,3,3,5,1.6,2.14285714285714,2.5,3.85714285714286
6,1,24,4,3,4,3,4,1,1,1,2,3,1,4,4,5,4,1,3,4,2,2,2,4,4,4,3,5,3,3.6,1.85714285714286,3.125,3.57142857142857
6,1,22,3,2,1,2,2,3,2,2,4,3,4,3,4,4,4,3,3,4,2,4,2,4,3,2,3,2,4,2,3,3.5,2.85714285714286
6,1,23,2,3,1,2,1,3,2,1,3,3,3,3,3,5,3,2,3,3,2,4,1,4,2,2,1,4,3,1.8,2.57142857142857,3.125,2.42857142857143
6,1,21,2,2,2,1,1,1,2,2,2,1,5,5,3,4,3,5,5,3,3,5,2,3,4,3,2,3,4,1.6,2.57142857142857,3.875,3
6,1,25,1,1,1,2,4,2,1,1,3,3,5,5,4,4,5,4,3,4,3,3,3,4,3,2,5,4,4,1.8,2.85714285714286,3.75,3.57142857142857
6,1,53,1,3,1,3,2,2,1,1,2,3,3,3,3,4,1,3,3,3,2,5,3,3,4,4,4,2,3,2,2.14285714285714,3,3.28571428571429
6,1,32,3,1,1,3,3,3,2,3,3,2,3,3,3,2,3,4,2,4,2,4,3,2,4,3,2,3,2,2.2,2.71428571428571,3,2.71428571428571
6,1,23,4,4,3,3,3,2,3,2,3,3,3,2,3,3,2,3,3,4,3,3,3,3,4,4,4,4,3,3.4,2.57142857142857,3,3.57142857142857
6,1,21,2,3,2,4,4,4,2,3,3,4,4,5,1,5,2,2,3,4,3,3,4,4,2,4,2,2,4,3,3.57142857142857,2.875,3.14285714285714
6,1,NA,2,1,2,3,1,1,2,1,4,2,3,2,1,5,2,4,3,3,2,5,2,3,3,4,3,2,3,1.8,2.14285714285714,3.125,2.85714285714286
6,1,20,3,3,3,4,5,2,2,2,3,5,4,4,4,5,5,5,5,3,4,5,4,5,5,5,3,3,5,3.6,3.14285714285714,4.5,4.28571428571429
