"lhs" "op" "rhs" "est.std" "se" "z" "pvalue" "ci.lower" "ci.upper"
"1" "FD" "=~" "FD1" 0.86153017147821 0.0156105251896283 55.189057447639 0 0.830934104326783 0.892126238629636
"2" "FD" "=~" "FD5" 0.668579736712325 0.0272165589828346 24.5651824366922 0 0.615236261322859 0.721923212101791
"3" "FD" "=~" "FD9" 0.888823465088323 0.0141648374963168 62.7485818541469 0 0.861060893748679 0.916586036427966
"4" "FD" "=~" "FD13" 0.646443226697263 0.0284684240655669 22.707376608147 0 0.590646140832138 0.702240312562387
"5" "FD" "=~" "FD17" 0.724925052131206 0.0238761169424153 30.3619325487301 0 0.678128722833406 0.771721381429007
"6" "SD" "=~" "SD2" 0.613102142054888 0.0358442559197311 17.1046134540457 0 0.542848691399578 0.683355592710197
"7" "SD" "=~" "SD6" 0.441864884628261 0.0426749146340918 10.3542066438082 0 0.358223588902119 0.525506180354402
"8" "SD" "=~" "SD10" 0.650738327172247 0.0342412233029495 19.0045291727703 0 0.583626762711872 0.717849891632621
"9" "SD" "=~" "SD14" 0.528633114161909 0.0393789213133712 13.4242659913188 0 0.451451846637664 0.605814381686153
"10" "SD" "=~" "SD18" 0.543627818469684 0.038768399582165 14.0224467434496 0 0.467643151550383 0.619612485388985
"11" "SD" "=~" "SD22" 0.552271321635752 0.0384121673975231 14.3775100196862 0 0.476984856968484 0.627557786303021
"12" "SD" "=~" "SD24" 0.502107546879973 0.0404324203682761 12.41843902261 0 0.422861459150368 0.581353634609578
"13" "UP" "=~" "UP3" 0.453122854353381 0.0409009034064795 11.0785536898825 0 0.372958556741529 0.533287151965232
"14" "UP" "=~" "UP7" 0.462991308845553 0.0405278699542315 11.4240227618282 0 0.383558143365137 0.54242447432597
"15" "UP" "=~" "UP11" 0.745092306755436 0.0280274847691466 26.5843443638457 0 0.690159446030663 0.800025167480208
"16" "UP" "=~" "UP15" 0.477684420727639 0.0399594583762162 11.9542266121394 0 0.399365321468528 0.55600351998675
"17" "UP" "=~" "UP19" 0.720687284995014 0.0291028615907007 24.7634509324436 0 0.663646724430186 0.777727845559841
"18" "UP" "=~" "UP20" 0.439450340497357 0.0414059097472865 10.6132275121948 0 0.358296248645559 0.520604432349154
"19" "UP" "=~" "UP25" 0.566627947717526 0.0362139168260622 15.646690481979 0 0.495649974999315 0.637605920435737
"20" "UP" "=~" "UP27" 0.376548689339567 0.0435461043752926 8.64712687257542 0 0.291199893096971 0.461897485582163
"21" "FW" "=~" "FW4" 0.724974793227462 0.0253553915531114 28.5925299835687 0 0.675279138969452 0.774670447485471
"22" "FW" "=~" "FW8" 0.646120363298909 0.0297824879368795 21.6946403090395 0 0.587747759572627 0.704492967025192
"23" "FW" "=~" "FW12" 0.684785431321146 0.0276494665732993 24.7666778491283 0 0.630593472645736 0.738977389996557
"24" "FW" "=~" "FW16" 0.75263244878964 0.0237508096671483 31.688707009878 0 0.706081717238364 0.799183180340916
"25" "FW" "=~" "FW21" 0.634441404481117 0.0304089917777479 20.8636119578741 0 0.574840875790556 0.694041933171677
"26" "FW" "=~" "FW23" 0.735013199641345 0.0247743070829676 29.6683655845482 0 0.686456450016793 0.783569949265897
"27" "FW" "=~" "FW26" 0.603082612651181 0.0320456339046575 18.8194939268631 0 0.540274324336297 0.665890900966065
"28" "FD1" "~~" "FD1" 0.257765763632727 0.0268978762970329 9.58312696460579 0 0.205046894829929 0.310484632435525
"29" "FD5" "~~" "FD5" 0.553001135657678 0.0363928803150706 15.1953110297971 0 0.481672400946463 0.624329870368894
"30" "FD9" "~~" "FD9" 0.209992847908387 0.0251800804445153 8.33964166123734 0 0.160640797109316 0.259344898707458
"31" "FD13" "~~" "FD13" 0.582111154657232 0.0368064395836546 15.8154703699116 0 0.509971858674119 0.654250450640344
"32" "FD17" "~~" "FD17" 0.474483668792568 0.0346167910315746 13.7067490848526 0 0.406636005110333 0.542331332474803
"33" "SD2" "~~" "SD2" 0.624105763407709 0.0439523804895421 14.1995895661717 0 0.537960680613405 0.710250846202012
"34" "SD6" "~~" "SD6" 0.804755423732454 0.0377130930420458 21.3388868114117 0 0.730839119624436 0.878671727840472
"35" "SD10" "~~" "SD10" 0.576539629549066 0.0445641528560008 12.9372958443085 0 0.489195494949767 0.663883764148365
"36" "SD14" "~~" "SD14" 0.720547030611482 0.0416340030465957 17.3066959188398 0 0.638945884107924 0.802148177115041
"37" "SD18" "~~" "SD18" 0.704468794985893 0.0421511613468514 16.7129154328393 0 0.621854036839527 0.787083553132258
"38" "SD22" "~~" "SD22" 0.694996387298699 0.0424278770166628 16.3806543284207 0 0.611839276405545 0.778153498191853
"39" "SD24" "~~" "SD24" 0.747888011366175 0.0406028467384329 18.4195954580263 0 0.668307894089047 0.827468128643303
"40" "UP3" "~~" "UP3" 0.794679678862645 0.0370662685413269 21.439430245767 0 0.722031127480354 0.867328230244935
"41" "UP7" "~~" "UP7" 0.785639047933481 0.0375281033883873 20.9346856621747 0 0.712085316884147 0.859192778982816
"42" "UP11" "~~" "UP11" 0.444837454413864 0.0417661257445802 10.6506755530608 0 0.362977352180716 0.526697556647012
"43" "UP15" "~~" "UP15" 0.7718175941941 0.0381760213037936 20.2173397812255 0 0.696993967365631 0.846641221022569
"44" "UP19" "~~" "UP19" 0.480609837246516 0.0419481246377481 11.4572425203015 0 0.398393023737533 0.5628266507555
"45" "UP20" "~~" "UP20" 0.806883398236757 0.0363916823899572 22.1721927991829 0 0.735557011415621 0.878209785057894
"46" "UP25" "~~" "UP25" 0.678932768865425 0.0410396349377888 16.5433432800902 0 0.598496562448687 0.759368975282163
"47" "UP27" "~~" "UP27" 0.858211084556654 0.032794456905245 26.1693946338655 0 0.793935130129823 0.922487038983485
"48" "FW4" "~~" "FW4" 0.474411549184799 0.0367640395750793 12.9042280083493 0 0.402355355691439 0.54646774267816
"49" "FW8" "~~" "FW8" 0.582528476130485 0.038486143786834 15.1360572614647 0 0.507097020404461 0.65795993185651
"50" "FW12" "~~" "FW12" 0.531068913050312 0.037867904205526 14.0242488775709 0 0.456849184637468 0.605288641463156
"51" "FW16" "~~" "FW16" 0.43354439702891 0.0357512601996239 12.1266885309254 0 0.363473214635727 0.503615579422093
"52" "FW21" "~~" "FW21" 0.597484104280028 0.03858544742254 15.4847006887629 0 0.521858017004486 0.67311019155557
"53" "FW23" "~~" "FW23" 0.459755596352993 0.0364188855792246 12.62409843247 0 0.388375892260627 0.531135300445358
"54" "FW26" "~~" "FW26" 0.636291362317826 0.0386523298446267 16.4619148412416 0 0.560534187903795 0.712048536731857
"55" "FD" "~~" "FD" 1 0 NA NA 1 1
"56" "SD" "~~" "SD" 1 0 NA NA 1 1
"57" "UP" "~~" "UP" 1 0 NA NA 1 1
"58" "FW" "~~" "FW" 1 0 NA NA 1 1
"59" "FD" "~~" "SD" 0.357053476264617 0.0481699637266383 7.41236755524406 1.24122934153093e-13 0.262642082223805 0.451464870305429
"60" "FD" "~~" "UP" 0.266141066520425 0.0491856677412238 5.41094751260976 6.26921468072084e-08 0.169738929192073 0.362543203848777
"61" "FD" "~~" "FW" 0.0158914161644911 0.0502841027848627 0.316032608406706 0.751977757635053 -0.0826636142887501 0.114446446617732
"62" "SD" "~~" "UP" 0.210082591945604 0.0550913668990659 3.81334869273622 0.000137096471593878 0.102105496964353 0.318059686926856
"63" "SD" "~~" "FW" -0.0887094231827517 0.0544816828929822 -1.62824308046803 0.10347335334077 -0.195491559470129 0.0180727131046253
"64" "UP" "~~" "FW" 0.054635667135621 0.053251949327703 1.02598435973494 0.304898956348074 -0.0497362356532287 0.159007569924471
