"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
6,1,23,1,1,1,1,1,1,1,1,2,3,3,4,1,5,2,3,1,2,1,5,4,5,4,5,4,4,3
6,1,23,3,3,2,3,4,3,1,3,4,4,3,4,3,2,3,3,4,5,3,3,1,2,3,3,3,4,3
6,1,25,2,1,1,2,4,1,2,1,4,2,4,4,1,5,1,5,3,3,2,3,2,4,4,4,4,3,3
6,1,25,2,1,2,2,4,4,2,3,3,2,3,3,3,4,3,3,2,4,2,3,3,3,3,4,2,3,3
6,1,22,2,2,2,3,2,1,1,1,4,4,2,3,2,5,5,3,5,5,2,5,3,3,3,4,2,4,3
6,1,20,2,1,1,4,3,2,4,1,3,2,2,2,3,3,2,3,3,3,2,3,3,4,5,4,3,3,3
6,1,24,2,2,2,2,2,2,2,2,2,4,2,3,4,4,3,4,4,4,3,4,2,4,4,2,2,2,3
6,1,22,3,1,2,4,4,2,2,1,5,4,4,1,2,3,4,4,4,3,4,3,2,5,5,5,4,4,4
6,1,18,4,2,2,3,4,3,2,1,4,2,4,4,4,5,2,2,2,3,3,5,1,4,2,2,1,2,4
6,1,25,1,1,1,2,1,3,1,2,2,3,4,3,2,4,2,3,2,3,1,4,3,3,3,4,3,2,4
6,1,22,2,1,1,2,2,2,2,1,3,4,4,4,2,5,5,4,4,4,3,5,3,4,4,3,3,3,3
6,1,19,2,2,3,2,2,1,4,1,2,3,4,2,4,3,3,3,3,3,3,4,2,5,4,4,4,3,1
6,1,24,3,1,2,3,3,2,2,2,3,3,4,4,3,5,5,3,4,3,3,5,3,3,3,4,3,3,5
6,1,23,3,1,3,3,3,4,2,2,3,4,3,3,4,3,5,5,4,4,3,2,2,4,4,4,4,1,4
6,1,20,1,2,1,1,1,2,4,3,4,4,3,3,4,5,4,4,4,4,4,5,3,3,3,4,3,4,3
6,1,18,1,1,2,2,2,3,3,3,4,4,1,4,2,5,3,4,4,4,2,5,4,3,4,3,3,3,3
6,1,21,2,2,1,3,2,3,2,3,2,3,4,4,4,5,2,4,3,4,3,1,2,5,3,4,4,3,4
6,1,21,1,2,1,1,1,3,1,3,4,1,5,5,1,2,2,1,1,4,1,4,2,4,4,3,2,2,4
6,1,20,3,4,3,5,3,2,3,2,3,4,4,3,4,4,3,4,5,4,3,3,4,5,4,5,4,3,4
6,1,26,2,2,2,2,2,4,3,4,5,5,4,4,2,5,4,4,4,3,3,4,4,4,4,5,4,4,4
6,1,24,3,3,2,2,3,4,1,2,4,4,4,3,3,5,4,3,3,4,2,4,3,5,1,3,4,3,2
6,1,21,1,2,1,1,1,4,1,2,3,4,4,3,3,5,4,5,4,4,5,5,2,3,3,3,1,2,2
6,1,51,2,2,2,2,3,2,3,3,4,4,2,4,2,2,2,2,2,4,2,2,2,4,4,4,4,3,2
6,1,28,1,1,1,2,1,3,1,2,2,4,3,3,1,1,3,2,3,3,2,1,4,4,4,3,4,3,3
6,1,37,3,4,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,1,27,1,1,3,4,2,3,4,1,3,3,3,1,3,5,4,4,4,3,3,5,2,5,4,3,4,2,1
6,1,20,2,1,1,1,1,3,2,2,1,2,2,4,5,4,3,3,2,4,4,5,2,2,3,3,1,2,5
6,1,25,1,2,1,2,2,2,1,2,2,3,3,4,2,5,3,3,3,3,3,4,3,3,3,3,3,3,2
6,1,59,3,4,1,4,1,5,1,3,3,1,3,4,2,1,4,4,3,3,3,5,3,2,3,3,4,3,2
6,1,20,1,1,1,3,2,2,1,1,2,4,2,3,3,4,5,4,4,4,3,4,3,4,4,4,4,4,2
6,1,21,2,2,2,2,1,3,3,2,5,3,3,4,1,4,3,3,3,2,2,4,3,4,4,3,3,3,3
6,1,20,2,2,2,3,3,2,4,2,3,2,4,3,3,3,2,4,2,3,2,4,4,4,3,5,3,2,4
6,1,36,2,4,3,2,1,1,1,1,4,4,3,4,2,4,4,2,4,4,3,4,3,4,4,4,5,2,4
6,1,43,1,2,2,2,3,2,1,1,4,2,3,3,2,5,2,2,3,2,2,4,3,5,3,3,2,3,3
6,1,25,3,2,1,2,2,4,1,1,4,2,4,2,4,5,5,4,4,4,4,5,4,5,5,3,4,4,5
6,1,49,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,3,2,2,2,3,2,2,2,2,2
6,1,23,2,2,3,4,2,3,3,3,4,3,3,4,4,5,3,3,4,3,3,5,3,4,4,4,4,4,3
6,1,33,2,1,2,2,3,3,1,4,2,4,4,4,1,2,2,3,3,4,2,3,2,3,3,4,2,2,3
6,1,26,3,3,3,3,2,2,1,1,2,2,2,2,2,5,3,2,3,4,3,4,2,5,3,4,3,3,3
6,1,34,1,1,1,2,4,3,2,4,4,2,2,5,1,2,3,1,1,3,2,2,2,4,4,4,4,4,2
6,1,49,2,4,5,3,3,3,3,3,3,4,4,4,4,5,3,4,2,4,4,4,5,4,3,2,4,3,3
6,1,20,1,4,1,3,4,3,1,1,3,1,2,1,5,4,4,2,4,1,3,5,1,5,1,4,2,3,1
6,1,28,5,5,5,1,5,5,5,1,1,3,5,5,5,1,4,5,5,5,5,5,5,1,5,5,5,1,1
6,1,35,1,1,1,2,3,2,2,1,3,2,4,2,2,5,2,2,2,4,2,4,3,4,3,3,4,3,4
6,1,23,2,1,1,1,2,1,1,2,2,1,2,3,1,5,2,2,2,3,2,4,3,3,4,4,3,3,2
6,1,31,1,1,1,1,1,2,1,1,2,3,3,3,3,4,3,4,3,3,3,4,2,4,3,1,3,1,3
6,1,43,3,4,1,2,3,2,2,4,3,3,3,4,3,5,3,4,3,4,3,4,2,4,2,3,2,3,5
6,1,22,3,2,2,2,1,3,2,2,3,2,4,3,4,4,2,4,2,4,3,2,3,4,4,4,3,2,2
6,1,23,4,2,1,3,3,2,1,2,3,4,4,4,4,4,4,4,2,4,4,5,3,4,4,3,3,3,3
6,1,36,2,1,1,3,2,3,4,2,3,2,5,4,2,4,3,3,3,3,1,5,4,5,5,5,4,3,5
6,1,24,2,2,2,3,2,1,1,2,4,3,3,5,5,5,5,3,4,4,3,5,2,5,3,2,2,4,2
6,1,38,1,2,2,2,1,2,2,2,2,2,4,4,3,5,2,4,4,3,3,4,3,5,4,4,4,4,4
6,1,23,4,2,3,2,3,2,1,1,3,4,2,4,3,4,2,4,2,4,4,3,1,5,4,4,2,4,4
6,1,20,1,4,3,2,1,2,1,3,2,1,2,1,2,5,2,3,4,3,1,4,1,5,4,2,5,2,3
6,1,24,2,3,2,4,3,2,2,1,2,3,3,3,2,5,4,5,3,2,1,4,1,4,4,2,2,2,2
6,1,22,3,1,1,2,1,2,1,3,3,2,4,3,1,3,4,2,2,2,3,4,2,4,5,3,1,2,2
6,1,24,2,1,2,3,2,2,2,3,2,4,3,4,3,5,4,3,3,4,3,4,2,2,4,2,2,2,2
6,1,23,2,2,2,2,1,3,1,1,4,2,4,4,3,5,3,5,2,3,3,4,2,4,3,3,3,3,2
6,1,20,1,3,5,3,4,3,1,3,2,2,1,3,1,1,3,4,4,4,4,1,5,5,5,3,4,2,2
6,1,21,1,2,1,3,1,4,1,4,4,2,3,4,1,2,3,4,3,2,2,4,3,4,3,4,3,3,4
6,1,23,3,2,3,2,2,3,2,3,2,3,4,5,2,5,4,3,3,3,2,4,4,3,4,4,3,4,4
6,1,27,3,1,1,5,4,4,1,2,1,2,4,2,4,5,2,2,2,5,2,4,2,3,4,4,1,3,4
6,1,24,1,1,1,1,1,2,1,2,4,4,4,4,1,5,1,2,3,2,1,5,4,4,4,4,5,4,4
6,1,18,1,2,1,2,3,3,2,3,3,4,4,5,2,2,1,5,2,1,2,2,4,3,5,2,2,3,3
6,1,21,1,1,1,1,1,1,3,1,5,2,4,2,2,5,2,3,2,3,2,5,3,4,5,4,3,2,4
6,1,29,2,2,1,2,1,4,2,3,5,4,2,3,3,2,5,4,3,4,2,5,4,5,5,2,4,2,2
6,1,48,1,1,1,2,1,2,1,3,2,2,4,3,1,1,2,2,1,3,1,4,4,5,4,3,3,3,4
6,1,30,2,1,1,1,3,3,3,2,5,3,4,4,3,2,4,4,3,4,3,4,3,4,4,5,4,4,4
6,1,26,2,2,2,3,2,2,1,1,3,3,3,4,2,4,4,5,4,4,2,3,3,4,4,4,4,2,1
6,1,47,1,2,2,3,3,4,1,4,3,3,4,4,3,5,2,2,2,4,2,4,4,5,4,2,2,3,2
6,1,19,1,1,1,1,1,3,2,2,3,2,3,4,2,4,4,4,3,3,3,4,4,3,4,2,4,3,3
6,1,20,3,3,1,4,2,4,2,2,2,3,5,5,4,5,3,5,3,4,3,4,2,1,4,5,4,2,4
6,1,25,2,1,2,3,3,3,2,2,4,4,2,4,5,4,4,4,4,3,2,4,4,3,3,4,3,3,4
6,1,46,1,1,1,1,1,3,1,3,3,2,4,3,3,5,2,2,4,4,2,5,1,5,4,4,4,4,2
6,1,21,2,3,2,2,2,1,2,1,4,3,4,4,2,4,3,4,4,4,2,4,5,4,5,4,4,4,4
6,1,21,3,1,3,2,3,2,2,1,4,3,3,2,1,4,3,5,3,3,2,4,4,4,4,3,3,2,3
6,1,45,2,2,2,2,3,4,3,3,3,1,3,4,2,3,3,4,3,3,3,3,4,4,4,4,4,4,4
6,1,21,1,1,2,2,3,3,3,1,5,3,4,3,1,4,3,4,2,2,2,4,4,5,4,5,4,5,5
6,1,61,4,3,3,2,4,4,4,4,4,3,4,4,2,3,1,5,3,3,2,3,3,5,4,5,3,4,4
6,1,21,2,1,2,2,2,1,2,1,4,4,3,1,1,4,4,3,4,4,2,4,5,5,4,5,3,4,3
6,1,32,3,3,3,3,3,4,2,3,3,2,5,4,2,3,2,4,2,3,2,2,2,4,3,3,2,3,3
6,1,22,1,1,1,1,1,2,1,1,2,3,3,3,2,5,1,3,3,2,1,5,3,5,5,4,4,4,3
6,1,22,2,1,3,4,4,2,1,2,3,4,4,2,3,3,3,3,3,3,2,3,2,4,5,4,4,3,4
6,1,25,1,1,1,1,1,5,3,3,4,3,3,4,1,3,3,2,2,4,1,2,4,4,2,3,3,3,3
6,1,27,2,1,2,2,2,2,1,1,4,4,2,4,2,3,2,3,2,2,2,4,4,4,4,4,5,4,4
6,1,19,2,1,3,2,4,1,1,2,2,2,4,4,3,4,4,4,4,4,4,4,1,5,3,2,2,2,2
6,1,24,2,2,2,2,2,3,2,1,3,4,4,4,4,4,2,2,2,3,1,4,2,3,4,2,2,3,4
6,1,30,2,2,2,3,2,3,3,3,4,4,4,4,2,2,4,2,3,4,2,4,4,4,3,4,3,3,2
6,1,20,1,2,5,2,2,3,5,2,3,2,3,3,4,4,3,2,2,3,2,1,4,2,4,4,3,4,4
6,1,29,1,2,1,1,1,3,2,3,3,4,3,4,1,5,1,2,1,3,1,5,4,4,5,4,4,4,1
6,1,20,1,1,1,2,3,1,2,1,2,2,2,1,2,4,5,3,3,3,2,5,4,4,4,5,4,4,3
6,1,23,2,1,1,1,1,2,2,1,2,2,4,3,2,1,2,2,2,3,2,4,3,3,4,3,5,2,3
6,1,36,1,1,2,3,2,3,2,3,2,1,4,4,3,4,3,4,4,3,1,5,4,5,4,4,4,2,5
6,1,19,1,1,2,1,5,4,2,3,3,4,4,4,1,1,3,3,4,3,2,2,3,4,4,5,4,4,3
6,1,26,1,1,1,2,2,3,1,3,4,4,4,4,4,2,4,2,4,5,4,5,5,5,4,3,5,2,3
6,1,21,2,1,1,1,1,1,1,2,3,2,3,3,3,4,3,2,4,3,2,4,2,4,4,4,2,4,2
6,1,24,3,2,3,3,2,2,1,2,4,4,2,3,4,4,2,3,2,4,2,2,4,4,5,5,3,4,4
6,1,25,2,2,2,3,2,2,1,3,3,3,4,5,4,4,5,4,4,5,3,4,4,4,2,3,4,4,5
6,1,30,2,3,1,3,1,1,1,1,1,1,1,1,1,4,3,3,1,2,1,5,3,1,1,3,3,1,1
6,1,22,3,1,1,3,2,5,3,2,5,1,3,3,3,5,5,5,3,5,4,5,1,4,4,1,1,3,4
6,1,27,1,1,1,3,1,1,1,1,3,4,2,3,3,5,3,4,3,3,2,3,4,4,3,5,4,3,4
6,1,25,2,2,2,2,2,2,3,2,2,3,3,4,2,3,2,3,1,3,1,3,3,3,3,2,2,2,2
6,1,18,3,5,5,5,4,5,1,4,4,3,4,4,2,5,4,5,5,2,5,5,3,2,2,4,1,4,3
6,1,31,3,5,5,4,1,4,3,4,5,5,4,4,1,2,2,2,1,2,2,2,1,5,5,4,3,4,4
6,1,21,5,4,5,4,3,4,2,4,3,3,2,4,2,3,3,3,3,5,2,3,3,4,3,3,2,3,3
6,1,23,3,2,2,2,1,3,2,2,3,5,4,4,3,4,2,2,3,3,2,4,2,2,2,2,2,4,1
6,1,47,1,2,1,2,2,2,1,3,2,1,3,3,2,1,3,3,3,4,3,4,3,3,3,3,2,3,2
6,1,20,3,3,5,2,3,5,1,4,3,4,4,4,2,4,5,3,4,5,2,4,4,5,5,3,2,3,3
6,1,27,2,1,1,2,2,3,4,1,3,3,3,3,3,5,4,4,4,3,3,4,2,3,4,3,3,2,2
6,1,32,1,1,2,2,3,2,1,3,1,4,3,4,3,4,3,3,3,4,3,4,2,2,4,3,3,2,2
6,1,32,1,2,3,2,2,3,2,3,4,1,4,5,4,4,2,2,4,4,2,4,4,2,3,3,3,3,3
6,1,38,1,1,1,1,2,2,2,1,1,3,2,3,1,4,3,3,2,2,2,4,1,1,1,2,1,2,2
6,1,43,2,3,3,3,3,3,2,3,3,3,3,3,2,4,4,3,3,5,2,3,2,3,1,1,1,2,4
6,1,19,3,2,2,3,1,4,1,4,3,3,5,4,3,4,3,2,2,3,2,2,3,3,3,3,2,2,3
6,1,30,2,5,2,2,1,3,1,3,4,3,4,4,2,4,3,4,3,4,2,1,3,3,4,3,3,2,4
6,1,22,1,2,1,3,1,1,2,3,3,3,3,4,3,4,4,2,3,4,2,4,3,4,4,4,3,3,4
6,1,21,3,1,1,2,4,1,1,1,3,3,2,2,1,5,4,5,3,3,2,5,2,4,4,4,3,4,3
6,1,26,3,2,3,2,4,3,1,3,4,4,4,4,4,4,3,3,4,4,3,4,2,2,3,3,1,4,2
6,1,24,2,2,2,2,2,4,1,2,4,2,4,4,2,4,2,3,3,4,2,4,3,3,3,3,3,2,2
6,1,25,3,1,2,2,3,1,4,1,4,2,4,2,3,3,4,3,2,3,2,3,3,4,2,3,3,2,3
6,1,27,3,2,2,4,1,3,1,3,1,1,3,4,2,5,4,3,3,4,3,4,2,2,1,3,2,3,4
6,1,37,1,1,3,2,3,1,1,1,1,2,3,4,1,1,1,5,1,3,1,5,1,5,5,5,5,2,5
6,1,19,3,3,2,4,3,2,3,2,2,3,4,4,2,4,2,4,2,2,2,3,4,4,4,4,2,4,3
6,1,27,3,2,1,2,2,4,1,4,5,3,5,4,4,4,4,2,4,4,4,4,2,4,3,4,3,3,4
6,1,61,2,2,2,2,3,3,1,3,3,4,3,2,4,2,3,3,3,3,3,4,3,3,3,3,3,3,4
6,1,21,2,2,2,2,1,3,2,2,4,2,4,4,1,4,2,4,1,2,2,2,2,4,3,4,3,2,4
6,1,28,1,1,2,3,2,3,3,3,3,4,3,4,3,5,4,3,3,4,1,4,4,4,4,4,5,3,4
6,1,18,2,2,4,3,5,3,1,3,4,4,3,4,2,3,1,3,3,2,2,4,4,3,4,4,4,2,3
6,1,23,2,3,4,2,2,3,4,2,3,3,3,2,2,3,3,4,3,3,3,4,3,3,3,4,4,3,3
6,1,20,2,1,2,2,4,3,2,3,4,2,4,4,4,4,3,4,3,4,3,4,4,5,4,3,4,3,4
6,1,20,3,2,2,2,2,2,2,1,3,4,2,3,2,4,4,4,4,4,3,4,3,3,5,3,4,2,3
6,1,18,1,1,1,4,1,1,3,1,3,3,5,2,1,4,4,4,2,3,3,5,2,4,5,2,3,2,5
6,1,23,2,1,1,2,1,3,2,2,3,4,4,4,3,4,4,4,3,4,3,5,2,4,4,3,2,3,4
6,1,21,3,4,2,3,3,1,1,1,2,1,2,3,5,5,5,5,5,5,3,5,1,2,1,2,2,2,1
6,1,18,3,1,1,1,4,1,4,1,4,5,2,4,2,5,5,5,5,1,1,5,5,5,4,5,5,2,4
6,1,22,2,1,1,2,2,1,3,2,4,5,2,3,4,5,4,5,4,3,4,5,4,4,5,4,5,4,5
6,1,21,2,2,2,4,2,3,1,1,3,4,2,1,3,4,3,3,2,5,4,2,2,4,5,2,4,5,3
6,1,20,4,5,3,3,2,4,1,2,4,1,4,4,5,5,2,4,4,5,3,4,3,4,2,3,4,2,2
6,1,23,2,2,2,3,3,4,1,4,4,4,4,4,3,4,2,4,2,4,2,4,4,3,4,4,3,2,4
6,1,18,1,1,1,1,1,1,1,1,3,1,2,1,2,2,4,5,3,4,2,4,1,3,5,3,2,1,4
6,1,18,2,2,3,3,2,3,2,2,3,4,2,1,4,3,2,2,3,3,2,2,3,4,4,3,2,1,3
6,1,19,2,1,3,2,3,4,3,3,3,4,4,4,2,5,5,4,4,5,3,3,4,4,5,3,3,2,4
6,1,23,1,1,1,1,1,2,3,2,3,2,3,2,3,4,2,2,1,2,1,5,2,5,4,4,2,4,3
6,1,22,2,1,1,2,3,1,2,2,3,2,3,2,1,4,4,3,3,4,2,5,3,2,4,2,3,2,4
6,1,31,1,1,1,1,5,5,1,5,3,3,5,5,5,5,5,5,3,5,3,5,1,5,1,5,3,5,3
6,1,24,1,1,1,1,3,2,1,2,2,2,3,3,1,3,1,2,1,3,2,3,3,3,2,2,2,1,2
6,1,20,1,2,1,1,1,3,2,3,4,3,2,2,2,3,3,3,2,4,3,3,3,4,4,4,3,4,4
6,1,19,1,5,5,5,2,1,1,2,1,2,1,1,2,4,3,5,4,1,4,5,5,5,5,5,5,3,3
6,1,25,3,4,4,2,4,2,2,2,4,4,5,4,3,4,2,4,3,4,2,3,1,5,4,4,4,2,4
6,1,25,1,2,1,2,1,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
6,1,38,4,3,4,3,4,2,3,2,3,3,4,3,3,4,3,3,3,4,3,3,2,5,4,3,4,3,2
6,1,22,2,2,1,2,2,2,3,1,1,3,3,3,2,3,2,2,2,2,1,3,3,3,2,2,3,1,3
6,1,23,4,4,4,3,3,4,4,3,3,2,5,4,4,2,1,5,4,5,2,5,2,5,2,4,2,2,3
6,1,23,1,1,2,2,1,2,4,2,3,2,2,2,2,3,2,2,2,2,2,4,4,4,4,3,4,4,4
6,1,18,2,1,1,2,4,3,3,3,3,3,3,5,2,3,4,4,4,3,3,4,1,4,3,3,5,4,3
6,1,31,1,1,1,1,1,2,2,3,5,2,4,4,3,2,2,4,4,4,3,4,4,4,4,3,4,3,4
6,1,29,1,2,1,1,1,2,4,2,4,2,2,4,1,2,2,2,1,2,2,5,3,4,4,3,3,4,4
6,1,34,1,1,1,1,2,3,1,3,4,3,4,4,2,5,2,2,3,3,2,3,3,5,4,4,2,4,4
6,1,26,3,2,2,2,2,3,1,2,2,4,2,2,2,2,2,3,2,2,2,4,2,2,4,3,2,3,4
6,1,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,1,32,1,1,1,3,1,1,3,1,3,4,3,3,1,5,4,4,4,3,3,4,4,4,4,3,3,3,4
6,1,37,1,1,1,2,1,1,1,2,3,2,2,2,2,5,2,3,2,3,2,4,2,5,4,4,3,3,2
6,1,30,1,2,1,3,1,2,3,2,3,2,3,4,2,5,2,2,3,3,3,4,3,4,4,3,3,2,2
6,1,24,2,1,1,1,2,2,1,1,4,2,1,3,1,5,3,5,2,3,1,5,3,3,3,3,3,4,4
6,1,30,1,1,1,2,2,3,2,3,4,3,3,4,2,2,1,2,1,2,1,2,2,4,4,2,2,2,4
6,1,38,1,1,1,1,2,1,3,1,4,2,3,4,2,4,2,2,1,3,1,4,4,2,2,3,2,1,4
6,1,22,2,1,1,3,2,3,1,4,3,2,3,4,4,5,3,3,2,4,3,5,3,5,4,4,3,3,3
6,1,22,2,2,2,3,2,3,2,3,3,4,3,3,2,4,3,4,3,3,2,3,2,4,4,4,2,2,3
6,1,28,1,1,1,1,2,2,1,2,2,2,3,3,2,5,2,4,2,2,2,4,2,3,3,4,2,4,2
6,1,31,1,1,1,2,1,3,3,2,3,3,3,3,4,5,4,3,4,1,3,5,3,4,3,2,3,2,4
6,1,28,3,2,3,3,4,3,2,3,2,3,2,3,2,4,4,2,4,4,3,3,4,4,2,2,2,2,4
6,1,36,3,3,3,3,3,4,1,4,4,2,1,4,5,3,2,3,2,4,2,2,4,3,3,5,5,3,4
6,1,24,2,2,1,2,1,1,1,2,3,3,2,4,3,3,3,5,3,3,2,4,2,1,5,5,3,5,4
6,1,20,3,2,2,3,2,1,1,1,4,3,4,2,1,3,4,4,4,3,3,4,4,4,5,3,2,3,4
6,1,32,2,1,2,1,2,2,1,3,2,2,3,4,2,4,3,3,2,4,2,3,3,4,3,4,2,3,3
6,1,47,1,1,1,1,1,1,1,1,4,5,5,5,3,5,5,4,4,4,2,4,5,3,2,3,2,1,4
6,1,30,2,2,1,2,2,2,1,3,3,2,2,4,3,5,2,2,2,2,2,4,4,4,3,4,4,3,2
6,1,24,1,1,1,1,2,3,3,1,3,2,4,4,3,3,1,3,3,2,2,3,4,5,4,4,4,4,4
6,1,25,3,1,1,2,2,2,4,1,3,3,3,2,3,5,3,3,3,3,2,4,3,4,4,3,4,3,3
6,1,36,3,2,2,2,4,2,1,2,1,2,2,1,4,2,3,2,2,5,3,2,2,3,4,3,4,3,4
6,1,25,3,1,2,2,1,4,2,3,4,3,5,4,2,5,3,4,3,3,2,5,4,4,4,5,4,3,4
6,1,21,3,5,5,5,1,3,1,5,5,5,5,5,3,5,4,5,5,5,1,5,5,5,5,5,5,4,3
6,1,21,3,1,1,4,2,4,2,1,5,5,4,4,3,5,3,5,4,5,3,4,5,5,4,5,4,5,5
6,1,23,2,3,2,3,3,3,3,3,3,3,3,4,2,4,4,3,3,3,2,3,3,4,4,4,4,3,3
6,1,21,1,1,3,1,1,1,1,1,1,3,3,3,1,1,1,5,2,3,2,5,3,5,5,3,5,4,4
6,1,66,2,2,2,2,1,3,3,3,3,3,3,4,4,2,3,2,3,4,2,2,2,5,4,3,4,3,3
6,1,26,1,1,1,1,2,1,1,1,1,1,2,3,5,3,4,3,2,3,2,3,3,4,3,3,3,3,3
6,1,22,1,1,1,1,1,2,2,2,4,4,4,3,4,3,3,3,3,2,2,4,4,4,4,5,3,4,3
6,1,22,1,1,4,5,3,1,1,1,3,3,5,5,4,5,5,5,2,5,3,5,2,3,5,4,2,1,5
6,1,22,3,2,2,2,4,2,2,1,3,3,2,4,2,4,3,4,4,4,4,4,4,5,5,3,4,4,3
6,1,23,2,1,2,2,1,2,1,2,3,4,3,4,3,4,2,2,5,5,2,5,4,5,4,2,2,2,2
6,1,19,1,2,2,3,4,2,3,2,3,3,4,4,2,4,2,5,3,3,2,3,2,3,5,3,4,3,4
6,1,23,3,1,1,5,2,3,1,1,1,3,1,4,3,5,3,3,4,3,3,3,1,3,3,1,1,1,3
6,1,23,4,2,2,2,2,4,2,2,4,2,3,4,4,4,4,3,3,4,3,2,2,3,4,4,3,3,4
6,1,23,2,2,1,1,1,3,2,3,4,4,5,4,1,5,5,5,5,2,2,5,5,5,5,3,4,2,4
6,1,25,2,1,1,1,1,2,3,2,3,3,3,3,1,2,3,3,5,3,4,5,4,3,4,4,4,4,4
6,1,19,1,1,1,1,1,3,2,2,4,3,4,4,2,4,4,4,4,2,1,5,4,5,4,4,3,2,4
6,1,20,1,1,1,3,2,2,2,2,3,2,2,1,3,4,3,3,3,3,3,5,3,5,3,3,1,3,2
6,1,22,3,2,2,2,2,2,1,1,4,2,2,3,2,3,4,4,3,4,2,2,2,3,4,2,3,2,4
6,1,19,3,1,4,3,4,4,1,3,3,3,2,3,3,4,3,3,4,4,3,5,2,3,4,2,2,2,3
6,1,19,1,2,1,1,1,3,1,2,3,4,3,4,3,4,3,3,4,3,3,4,4,4,5,5,4,4,3
6,1,19,2,1,1,3,1,2,1,2,1,2,4,3,2,5,3,5,3,4,2,5,3,3,2,3,4,3,3
6,1,26,2,2,1,3,2,3,1,2,2,2,2,3,3,5,4,2,4,4,3,5,2,3,3,3,3,3,4
6,1,22,2,1,2,3,3,2,1,1,4,4,3,2,3,4,5,4,4,4,3,4,4,4,4,4,4,3,4
6,1,26,1,1,1,1,1,3,1,3,3,2,3,3,2,4,2,4,2,4,2,5,4,4,4,4,4,5,4
6,1,23,1,1,1,2,1,4,3,2,3,3,4,4,2,5,3,4,4,4,2,5,2,3,4,3,2,3,3
6,1,19,2,2,3,4,2,3,2,3,3,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,3,3,3
6,1,27,3,2,3,3,1,3,3,3,3,2,2,2,2,3,3,4,2,2,2,4,2,3,4,2,1,2,3
6,1,18,2,2,1,5,1,1,1,3,4,2,5,4,2,2,3,5,3,5,3,1,3,4,3,3,4,4,3
6,1,28,3,1,1,2,1,3,3,3,3,3,3,4,4,2,4,2,3,4,3,5,4,5,3,4,4,3,3
6,1,20,2,1,1,1,1,1,2,1,1,4,4,3,4,5,5,5,5,3,2,5,3,4,4,4,4,4,4
6,1,20,2,2,1,2,4,3,4,2,4,4,2,2,2,4,4,2,2,2,3,2,4,2,5,3,3,2,4
6,1,23,3,2,1,3,1,3,2,2,4,4,4,4,5,4,3,4,4,4,3,3,2,4,2,3,3,2,5
6,1,20,1,1,1,1,1,1,1,1,2,4,3,3,5,5,3,4,5,2,5,5,3,3,3,2,4,1,3
6,1,20,3,2,1,3,1,2,2,1,5,4,4,4,3,5,4,4,3,3,2,4,4,5,4,4,2,3,4
6,1,19,4,3,4,4,3,4,2,3,4,4,3,4,4,4,3,4,4,2,2,5,2,3,2,3,2,3,3
6,1,45,2,2,2,2,2,4,3,3,4,4,3,4,4,4,2,4,2,4,2,4,4,5,4,5,4,3,3
6,2,29,1,2,1,2,1,4,5,3,2,5,3,5,2,4,3,2,3,2,1,4,3,5,4,4,4,4,4
6,2,37,2,2,2,2,3,4,3,3,3,4,2,4,2,5,4,3,3,3,2,4,2,3,3,3,2,3,3
6,2,29,1,1,3,4,1,3,1,2,4,4,4,2,4,5,3,4,4,4,3,5,4,5,4,4,4,4,4
6,2,74,2,2,1,2,2,2,2,3,3,4,2,3,1,2,2,3,3,4,2,3,4,5,3,3,4,3,4
6,2,24,1,1,1,1,3,1,1,3,4,2,4,3,3,1,3,3,3,2,1,1,3,5,3,3,1,3,3
6,2,25,2,2,1,2,2,3,1,2,3,4,4,2,5,4,2,2,2,5,1,3,2,2,4,2,1,2,4
6,2,22,2,1,1,2,1,2,1,1,3,2,2,3,3,4,3,5,3,3,2,2,3,4,4,4,4,4,4
6,2,23,3,1,1,2,1,4,2,1,4,3,4,4,2,4,4,3,4,4,2,4,2,2,4,4,3,2,2
6,2,20,1,1,1,1,1,3,3,1,4,1,4,3,1,4,1,3,1,2,1,4,4,4,3,2,3,2,2
6,2,40,4,2,1,2,1,1,2,1,3,4,2,2,1,2,3,2,2,3,3,1,1,5,5,2,3,4,5
6,2,21,2,1,2,2,1,4,2,3,4,3,4,5,3,5,4,3,3,3,1,4,2,3,3,2,2,2,2
6,2,25,3,2,2,2,3,3,2,3,4,3,3,3,2,5,2,3,2,2,2,2,1,4,4,2,3,2,3
6,2,42,2,1,1,1,2,1,1,1,5,4,4,5,5,4,3,2,3,4,3,5,3,5,4,5,2,3,5
6,2,23,2,2,2,2,1,2,2,2,3,3,2,3,2,3,2,3,3,2,2,3,2,2,3,2,2,2,3
