"FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26" "FD" "SD" "UP" "FW" "FD1" "FD5" "FD9" "FD13" "FD17" "SD2" "SD6" "SD10" "SD14" "SD18" "SD22" "SD24" "UP3" "UP7" "UP11" "UP15" "UP19" "UP20" "UP25" "UP27" "FW4" "FW8" "FW12" "FW16" "FW21" "FW23" "FW26"
"SD6" "0.179360969442251" "0.524117615644482" "-0.126438543185388" "0.112845601779044" "0.172411933840635" "0.1529879503111" "0.177448552649992" "0.103713464125776" "0.0675251623044143" "0.158614934025306" "1" "0.198101571372179" "0.290351488870762" "0.0914352890171851" "-0.0449495897134404" "0.0575487347995031" "0.105592313192523" "-0.160855278866496" "-0.148510240478563" "-0.137509357712473" "-0.111221128636589" "-0.00162204624428997" "0.0840380400198298" "-0.172738206018395" "0.244197880200349" "-0.0296090847404503" "0.07570776667294" "0.0136792827390325" "0.110454415416432" "-0.0121131368166213" "0.0301933460816092" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD10" "0.561810633066052" "0.585060962174204" "0.115607959220339" "-0.133334704315277" "0.418431897013989" "0.426603915462351" "0.543006036716945" "0.506319748716967" "0.233908529186417" "0.507520897501732" "0.198101571372179" "1" "0.122989180549317" "0.0194954541820455" "0.0406069889647504" "0.171447908034441" "0.28849647056211" "-0.103119794969534" "0.0123667632720222" "0.00651130064816381" "0.0671481282139359" "0.184344229799248" "0.165460826623883" "-0.0883012898066127" "0.0719087579269641" "-0.0866922375952122" "-0.204066433533477" "-0.0400859559556087" "-0.107873376933215" "-0.109292588030609" "-0.0439367162860824" "1" "1" "0" "0" "0" "0" "1" "1" "0" "1" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD14" "0.106090086891138" "0.487144646276132" "-0.00552798975669716" "0.17284573609542" "0.0777663597010203" "0.0684783969360492" "0.098219313234483" "0.0880081939747273" "0.0658631862733059" "0.102923333663382" "0.290351488870762" "0.122989180549317" "1" "0.0706068530973063" "0.0339886812380991" "0.104479193567833" "0.081565967669048" "0.0023808135455364" "-0.0170147808599633" "-0.0843436797994046" "0.0008570416875266" "0.032759112623986" "0.0212406355497673" "-0.0639412531419398" "0.097787770897307" "0.126102622976238" "0.137633895165472" "0.103610892234536" "0.0633629306235588" "0.115207880523481" "0.037469713881376" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD18" "0.00207428078672694" "0.396460292757379" "0.0893062177791339" "0.145741231327496" "0.0300990910185246" "-0.0653742903880632" "0.0330557716812646" "-0.0247241768232549" "0.0176430126030329" "-0.0143612829548645" "0.0914352890171851" "0.0194954541820455" "0.0706068530973063" "1" "0.122052286053473" "0.150560036806715" "0.0643418074592047" "0.120237205714479" "0.0773854372813178" "-0.0352184254653438" "0.090823772952673" "0.0478264586671155" "0.0213755382016583" "0.000815549759056199" "0.0409504852975481" "0.0477570015753368" "0.0847023766080288" "0.074620733272919" "0.0931963901238951" "0.176571235485475" "0.0721827988582176" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD22" "0.0835621957108938" "0.411453574631807" "0.141786838443595" "0.128130808800953" "0.0526707326595049" "-0.0203378266115798" "0.0805938238629476" "0.0904185910610019" "0.099012243612708" "0.0846898165364331" "-0.0449495897134404" "0.0406069889647504" "0.0339886812380991" "0.122052286053473" "1" "0.284345464137212" "0.119574344623423" "0.0561649070519792" "0.0190142032906193" "0.0668992460639814" "0.186351690694281" "0.1235204714405" "0.0575075808098779" "0.0109862679212531" "0.00743060306716788" "0.108836233893909" "0.0265172620530078" "0.0968321358223952" "0.0255881262328359" "0.149904128723332" "0.106515707619592" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"SD24" "0.145849653771175" "0.533189771009947" "0.17126373317819" "0.19698687686392" "0.128247743165092" "0.0726744500949636" "0.192325449396596" "0.105641671387432" "0.0420572042647727" "0.14507765175755" "0.0575487347995031" "0.171447908034441" "0.104479193567833" "0.150560036806715" "0.284345464137212" "1" "0.164625225672633" "0.067865018097292" "0.0324496891778865" "0.0565758114297375" "0.164065723582175" "0.133848965613933" "0.132629814725604" "0.0266248030792542" "0.157412888629049" "0.140433609461007" "0.0231611180409639" "0.134720903539046" "0.0679546169709009" "0.111692655581082" "0.146704397691279" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP3" "0.378872580758396" "0.333832283832734" "0.472173195084833" "0.0148432510997852" "0.309582352777653" "0.252279745611974" "0.281888747052909" "0.285778138680089" "0.290771418060971" "0.343429968153695" "0.105592313192523" "0.28849647056211" "0.081565967669048" "0.0643418074592047" "0.119574344623423" "0.164625225672633" "1" "0.0136862314113618" "0.117684063389986" "0.0811531298638436" "0.266441022295095" "0.311207905054416" "0.230920712565681" "0.0460872872451735" "0.150669895944038" "0.0530111705767353" "-0.118142659426505" "-0.0134786122647976" "0.0423854948009557" "-0.0554299350896546" "-0.00545555733904984" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP7" "-0.103314458909451" "-0.0463871302017579" "0.518469150522179" "0.203242495664225" "-0.1520899532701" "-0.103248956726728" "-0.0774637500100685" "-0.0363756711477342" "-0.0191331372436323" "-0.115989556566098" "-0.160855278866496" "-0.103119794969534" "0.0023808135455364" "0.120237205714479" "0.0561649070519792" "0.067865018097292" "0.0136862314113618" "1" "0.300684304786759" "0.302408354495748" "0.250076334519911" "-0.000193262530457674" "0.0305782951861538" "0.339391173077966" "-0.0363466836022666" "0.277446957133411" "0.116285222398712" "0.154342402403439" "0.02816766724174" "0.220960652418735" "0.0553791939375012" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP11" "0.0749883971691134" "-0.0137318870294015" "0.643264677048204" "0.126469997324884" "-0.00549202416079334" "0.0266342659700504" "0.0485880596681787" "0.0523758713768295" "0.153052282333487" "-0.00358657495058888" "-0.148510240478563" "0.0123667632720222" "-0.0170147808599633" "0.0773854372813178" "0.0190142032906193" "0.0324496891778865" "0.117684063389986" "0.300684304786759" "1" "0.310900707275373" "0.321882163765589" "0.201018166574123" "0.156785127951161" "0.396032755592578" "-0.0407980153184061" "0.147561628952893" "0.104717748955659" "0.11545282465082" "0.025839120009717" "0.0325732706781829" "0.100808330392863" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
"UP15" "0.0693350265248383" "-0.0299687502263529" "0.578044472552225" "0.113867229961515" "0.00564479299037736" "0.018662403479203" "0.0509944121246753" "0.0692012651715769" "0.112091370789718" "0.0342472621802855" "-0.137509357712473" "0.00651130064816381" "-0.0843436797994046" "-0.0352184254653438" "0.0668992460639814" "0.0565758114297375" "0.0811531298638436" "0.302408354495748" "0.310900707275373" "1" "0.279340127758456" "0.144689366926372" "0.0694695368971896" "0.361780406400507" "-0.0567910238057299" "0.107603608215613" "0.0804163075999324" "0.0776118682446982" "0.0737696187845875" "0.0713518703261381" "0.0904403770744594" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "1" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0" "0"
