"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.12,2,20,2,3,2,4,2,1,4,3,2,2,3,2,1,2,3,4,2,2,2,4,3,3,2,3,2,2,3,1.8,2.28571428571429,2.875,2.85714285714286
5.12,1,20,1,3,1,1,5,3,2,1,2,4,4,1,2,5,1,1,2,2,1,2,1,4,1,5,1,2,1,2.4,3.71428571428571,1.625,1.14285714285714
5.12,1,21,1,1,2,1,1,3,2,2,1,1,4,1,3,2,4,1,1,2,2,4,3,2,1,2,2,1,4,1.4,1.85714285714286,3,1.42857142857143
5.12,2,20,1,5,3,3,1,4,4,4,1,3,2,4,1,5,3,4,1,2,2,3,4,3,4,2,2,2,3,1,3.42857142857143,2.75,3.57142857142857
5.12,1,21,4,4,3,2,3,5,1,2,4,5,4,1,4,2,2,2,4,5,3,3,1,5,3,4,4,5,2,3.8,4.28571428571429,2.75,2.28571428571429
5.12,2,22,1,4,1,4,1,4,5,5,1,4,4,5,1,5,2,5,1,4,2,1,4,4,4,3,1,4,4,1,4,2.5,4.42857142857143
5.12,2,21,3,4,3,3,3,2,3,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3.2,3,3,3.57142857142857
5.12,1,21,1,3,3,4,1,2,2,5,1,2,3,4,1,3,2,4,2,2,4,3,4,4,4,4,4,4,5,1.2,2.85714285714286,3.25,4.14285714285714
5.12,2,20,2,3,4,3,1,2,3,2,2,3,3,2,2,3,4,1,1,3,3,2,3,3,2,3,2,3,3,1.6,2.85714285714286,3,2.28571428571429
5.12,2,21,1,3,2,4,1,2,1,5,1,3,1,4,1,4,1,2,1,3,1,1,4,5,4,5,1,2,3,1,3.57142857142857,1.375,3.57142857142857
5.12,2,21,3,3,3,3,2,2,4,3,3,3,3,2,3,4,3,2,3,2,2,2,4,2,3,4,2,3,5,2.8,2.85714285714286,3,2.85714285714286
5.12,1,20,1,5,1,1,1,1,1,5,1,4,1,1,3,4,4,1,1,4,1,1,3,4,1,4,1,1,5,1.4,3.71428571428571,1.875,1.85714285714286
5.12,1,21,1,3,1,1,5,5,1,4,1,3,4,1,2,5,5,1,1,5,5,5,1,5,1,3,4,3,5,2,4.14285714285714,3.75,1.71428571428571
